hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 600.00000, 967.021, 23.5697, 967.326, 23.5636, 972.96, 23.5946
0, 1200.00000, 1135.75, 23.5094, 1135.97, 23.5085, 1141.52, 23.5284
0, 1800.00000, 1080.53, 23.5288, 1080.81, 23.5267, 1086.46, 23.5519
0, 2400.00000, 1090.65, 23.5256, 1090.91, 23.5236, 1096.59, 23.5478
0, 3000.00000, 1062.93, 23.5352, 1063.22, 23.5326, 1068.89, 23.5589
1, 0.00000, 1100.64, 23.522, 1100.89, 23.5203, 1106.49, 23.5429
1, 600.00000, 1080.52, 23.5297, 1080.76, 23.5272, 1086.3, 23.5496
1, 1200.00000, 1070.37, 23.5332, 1070.61, 23.5305, 1076.09, 23.5532
1, 1800.00000, 1039.99, 23.5443, 1040.25, 23.5409, 1045.63, 23.5648
1, 2400.00000, 1085.24, 23.5285, 1085.45, 23.5263, 1090.72, 23.5458
1, 3000.00000, 1039.88, 23.5451, 1040.09, 23.5415, 1045.3, 23.5625
2, 0.00000, 1097.74, 23.5243, 1097.92, 23.5223, 1103.11, 23.54
2, 600.00000, 1019.61, 23.5518, 1019.85, 23.5479, 1025.08, 23.5714
2, 1200.00000, 1064.96, 23.5358, 1065.17, 23.5332, 1070.36, 23.5536
2, 1800.00000, 1017.06, 23.5528, 1017.31, 23.5489, 1022.51, 23.5723
2, 2400.00000, 1085.08, 23.5284, 1085.3, 23.5264, 1090.5, 23.5463
2, 3000.00000, 1047.36, 23.5419, 1047.59, 23.5388, 1052.83, 23.561
3, 0.00000, 1057.41, 23.5385, 1057.64, 23.5358, 1062.87, 23.5574
3, 600.00000, 1029.73, 23.5475, 1029.98, 23.5439, 1035.22, 23.5674
3, 1200.00000, 1075.04, 23.5312, 1075.31, 23.5293, 1080.64, 23.5525
3, 1800.00000, 1042.22, 23.5418, 1042.57, 23.5395, 1048.03, 23.5684
3, 2400.00000, 1064.82, 23.533, 1065.21, 23.5317, 1070.72, 23.5616
3, 3000.00000, 1037.23, 23.5419, 1037.69, 23.5403, 1043.36, 23.5758
4, 0.00000, 1092.65, 23.5212, 1093.13, 23.5215, 1098.96, 23.5565
4, 600.00000, 1034.81, 23.5406, 1035.4, 23.5397, 1041.42, 23.5836
4, 1200.00000, 1080.24, 23.5241, 1080.83, 23.5248, 1086.94, 23.5669
4, 1800.00000, 1047.67, 23.5343, 1048.38, 23.5345, 1054.74, 23.5851
