hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 8190.68, -0.953998, 8186.58, -120.929, 8184.02, 119.029, 118.064, -24.5237, 118.16, -144.492, 118.885, 95.4345
0, 1200.00000, 8158.69, -1.12545, 8154.58, -121.1, 8152.02, 118.858, 139.208, -24.6349, 139.305, -144.609, 140.029, 95.3292
0, 1800.00000, 8169.25, -1.06924, 8165.06, -121.043, 8162.45, 118.914, 132.267, -24.5981, 132.37, -144.57, 133.105, 95.3616
0, 2400.00000, 8167.33, -1.07955, 8163.14, -121.054, 8160.52, 118.903, 133.538, -24.6051, 133.639, -144.577, 134.377, 95.3554
0, 3000.00000, 8172.59, -1.05134, 8168.4, -121.025, 8165.79, 118.931, 130.06, -24.5865, 130.163, -144.558, 130.899, 95.3725
1, 0.00000, 8165.39, -1.08966, 8161.25, -121.064, 8158.67, 118.893, 134.793, -24.6116, 134.892, -144.584, 135.621, 95.3504
1, 600.00000, 8169.17, -1.06907, 8165.09, -121.044, 8162.55, 118.914, 132.269, -24.5987, 132.363, -144.571, 133.083, 95.3644
1, 1200.00000, 8171.06, -1.05867, 8167.02, -121.034, 8164.52, 118.925, 130.995, -24.5918, 131.089, -144.564, 131.8, 95.3714
1, 1800.00000, 8176.76, -1.02769, 8172.8, -121.003, 8170.35, 118.956, 127.189, -24.572, 127.281, -144.544, 127.979, 95.3911
1, 2400.00000, 8168.11, -1.07358, 8164.23, -121.05, 8161.84, 118.91, 132.863, -24.6021, 132.951, -144.576, 133.637, 95.3644
1, 3000.00000, 8176.67, -1.02736, 8172.85, -121.004, 8170.51, 118.957, 127.177, -24.5725, 127.261, -144.545, 127.936, 95.3943
2, 0.00000, 8165.68, -1.08622, 8161.87, -121.063, 8159.53, 118.898, 134.434, -24.6105, 134.518, -144.585, 135.193, 95.3579
2, 600.00000, 8180.52, -1.00682, 8176.69, -120.983, 8174.33, 118.977, 124.639, -24.5587, 124.727, -144.531, 125.402, 95.4059
2, 1200.00000, 8171.91, -1.05284, 8168.1, -121.029, 8165.75, 118.931, 130.319, -24.5887, 130.406, -144.563, 131.079, 95.3776
2, 1800.00000, 8180.99, -1.00422, 8177.17, -120.981, 8174.82, 118.98, 124.32, -24.557, 124.408, -144.53, 125.081, 95.4076
2, 2400.00000, 8168.11, -1.07336, 8164.27, -121.05, 8161.9, 118.911, 132.843, -24.6017, 132.933, -144.576, 133.609, 95.3643
2, 3000.00000, 8175.28, -1.03501, 8171.43, -121.011, 8169.05, 118.949, 128.113, -24.5769, 128.202, -144.55, 128.88, 95.388
3, 0.00000, 8173.37, -1.04522, 8169.52, -121.022, 8167.15, 118.939, 129.372, -24.5837, 129.462, -144.557, 130.14, 95.3814
3, 600.00000, 8178.62, -1.01713, 8174.77, -120.994, 8172.4, 118.967, 125.905, -24.5646, 125.995, -144.537, 126.672, 95.3995
3, 1200.00000, 8170.11, -1.06331, 8166.15, -121.039, 8163.7, 118.92, 131.582, -24.5945, 131.679, -144.568, 132.372, 95.3679
3, 1800.00000, 8176.42, -1.03013, 8172.34, -121.005, 8169.83, 118.953, 127.467, -24.5719, 127.573, -144.545, 128.28, 95.3848
3, 2400.00000, 8172.19, -1.05321, 8168.04, -121.028, 8165.47, 118.93, 130.298, -24.5862, 130.412, -144.56, 131.128, 95.3683
3, 3000.00000, 8177.53, -1.02538, 8173.23, -120.999, 8170.58, 118.957, 126.839, -24.5673, 126.962, -144.539, 127.698, 95.3815
4, 0.00000, 8167.13, -1.08199, 8162.68, -121.055, 8159.91, 118.9, 133.786, -24.6031, 133.919, -144.576, 134.678, 95.3436
4, 600.00000, 8178.22, -1.02342, 8173.62, -120.995, 8170.74, 118.958, 126.533, -24.5641, 126.676, -144.535, 127.457, 95.3747
4, 1200.00000, 8169.68, -1.06974, 8164.98, -121.041, 8162.04, 118.912, 132.225, -24.5938, 132.374, -144.566, 133.17, 95.3447
4, 1800.00000, 8176.03, -1.03698, 8171.11, -121.007, 8168.01, 118.944, 128.14, -24.5713, 128.303, -144.541, 129.131, 95.3586
4, 2400.00000, 8171.27, -1.06265, 8166.32, -121.032, 8163.2, 118.918, 131.299, -24.5885, 131.463, -144.559, 132.297, 95.3425
4, 3000.00000, 8169.84, -1.07042, 8164.87, -121.04, 8161.74, 118.91, 132.254, -24.5932, 132.418, -144.564, 133.254, 95.3382
