hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 118.807, 116.964, 0.000587954, 19.7305, 23.8746, -86.3849, 23.8746, 93.615
0, 1200.00000, 117.853, 116.676, 0.000583192, 19.3685, 23.8893, -86.5114, 23.8894, 93.4886
0, 1800.00000, 118.133, 116.744, 0.000584071, 19.3265, 24.3031, -86.4993, 24.3031, 93.5006
0, 2400.00000, 118.069, 116.721, 0.000583661, 19.2742, 24.3822, -86.5128, 24.3822, 93.4871
0, 3000.00000, 118.229, 116.771, 0.000584495, 19.3473, 24.3463, -86.4893, 24.3463, 93.5107
1, 0.00000, 118.039, 116.725, 0.000583907, 19.3787, 24.0568, -86.4969, 24.0568, 93.503
1, 600.00000, 118.182, 116.783, 0.000585062, 19.5608, 23.6952, -86.4561, 23.6952, 93.5438
1, 1200.00000, 118.262, 116.819, 0.000585803, 19.6908, 23.4134, -86.4281, 23.4134, 93.5718
1, 1800.00000, 118.468, 116.899, 0.000587384, 19.9238, 22.9715, -86.3745, 22.9716, 93.6254
1, 2400.00000, 118.249, 116.852, 0.00058685, 20.0028, 22.519, -86.3757, 22.519, 93.6242
1, 3000.00000, 118.537, 116.955, 0.000588782, 20.2498, 22.1201, -86.3138, 22.1201, 93.6861
2, 0.00000, 118.21, 116.857, 0.000587163, 20.1328, 22.1118, -86.3559, 22.1118, 93.644
2, 600.00000, 118.645, 116.984, 0.000589215, 20.2597, 22.2041, -86.3048, 22.2041, 93.6951
2, 1200.00000, 118.395, 116.913, 0.000588081, 20.1992, 22.1164, -86.332, 22.1164, 93.6679
2, 1800.00000, 118.665, 116.993, 0.00058942, 20.2958, 22.1233, -86.2972, 22.1233, 93.7027
2, 2400.00000, 118.269, 116.868, 0.000587252, 20.0964, 22.2757, -86.3582, 22.2757, 93.6417
2, 3000.00000, 118.478, 116.929, 0.00058824, 20.1573, 22.3217, -86.3336, 22.3218, 93.6663
3, 0.00000, 118.422, 116.912, 0.000587963, 20.1369, 22.3199, -86.3413, 22.3199, 93.6586
3, 600.00000, 118.578, 116.959, 0.000588726, 20.1929, 22.3252, -86.3198, 22.3252, 93.6801
3, 1200.00000, 118.274, 116.843, 0.000586472, 19.8681, 22.9258, -86.3971, 22.9258, 93.6028
3, 1800.00000, 118.41, 116.859, 0.000586392, 19.7017, 23.5388, -86.4163, 23.5388, 93.5836
3, 2400.00000, 118.247, 116.792, 0.000585035, 19.484, 23.9812, -86.4645, 23.9812, 93.5354
3, 3000.00000, 118.34, 116.788, 0.000584547, 19.2443, 24.7555, -86.4989, 24.7555, 93.501
4, 0.00000, 117.953, 116.634, 0.000581495, 18.7686, 25.6785, -86.6059, 25.6785, 93.394
4, 600.00000, 118.21, 116.677, 0.000581717, 18.5603, 26.5387, -86.6232, 26.5387, 93.3767
4, 1200.00000, 117.908, 116.563, 0.000579546, 18.2439, 27.0981, -86.6971, 27.0981, 93.3028
4, 1800.00000, 117.989, 116.537, 0.00057842, 17.8239, 28.359, -86.7613, 28.359, 93.2386
4, 2400.00000, 117.831, 116.481, 0.000577412, 17.6905, 28.556, -86.7944, 28.556, 93.2055
4, 3000.00000, 117.782, 116.463, 0.000577066, 17.6425, 28.6363, -86.806, 28.6363, 93.1939
5, 0.00000, 117.804, 116.46, 0.000576877, 17.5635, 28.8809, -86.8176, 28.881, 93.1823
5, 600.00000, 117.798, 116.448, 0.000576558, 17.4737, 29.1241, -86.8328, 29.1241, 93.1671
5, 1200.00000, 117.898, 116.472, 0.000576841, 17.4537, 29.2902, -86.8293, 29.2902, 93.1706
5, 1800.00000, 117.697, 116.403, 0.000575625, 17.3032, 29.4861, -86.8681, 29.4861, 93.1318
5, 2400.00000, 117.3, 116.288, 0.000573882, 17.2081, 29.3114, -86.912, 29.3114, 93.0879
5, 3000.00000, 116.97, 116.219, 0.000573243, 17.3741, 28.4905, -86.908, 28.4905, 93.092
6, 0.00000, 118.167, 116.588, 0.000579187, 17.8626, 28.446, -86.7422, 28.4461, 93.2578
6, 600.00000, 117.426, 116.368, 0.000575715, 17.6235, 28.301, -86.834, 28.301, 93.166
6, 1200.00000, 115.566, 115.795, 0.000566668, 16.9145, 28.2083, -87.0848, 28.2083, 92.9152
6, 1800.00000, 117.378, 116.343, 0.000575183, 17.5172, 28.5438, -86.8547, 28.5438, 93.1452
6, 2400.00000, 114.133, 115.329, 0.000556479, 16.1148, 28.821, -87.3013, 28.821, 92.6986
6, 3000.00000, 111.677, 114.596, 0.000542443, 15.0817, 29.6894, -88.2317, 29.6894, 91.7682
7, 0.00000, 111.276, 114.462, 0.000540158, 14.865, 29.9251, -88.3178, 29.9251, 91.6821
7, 600.00000, 111.036, 114.349, 0.00053781, 14.4464, 30.8583, -88.4207, 30.8583, 91.5793
7, 1200.00000, 111.313, 114.424, 0.000538843, 14.4381, 31.1304, -88.3891, 31.1304, 91.6108
7, 1800.00000, 110.964, 114.297, 0.000536574, 14.1635, 31.5694, -88.4791, 31.5694, 91.5208
7, 2400.00000, 111.314, 114.357, 0.00053682, 13.8413, 32.7707, -88.4939, 32.7707, 91.5061
7, 3000.00000, 110.452, 113.986, 0.000529496, 12.637, 35.2942, -88.807, 35.2942, 91.1929
8, 0.00000, 110.407, 113.937, 0.000528223, 12.3055, 36.1634, -88.8695, 36.1634, 91.1305
8, 600.00000, 110.434, 113.946, 0.000528355, 12.3133, 36.1671, -88.8645, 36.1671, 91.1355
8, 1200.00000, 110.141, 113.893, 0.000527553, 12.3186, 36.2282, -90.0677, 36.2282, 89.9322
8, 1800.00000, 110.115, 113.848, 0.000526291, 11.9642, 37.179, -90.1343, 37.179, 89.8656
8, 2400.00000, 110.542, 113.947, 0.000527861, 12.0409, 37.0169, -88.8975, 37.0169, 91.1025
8, 3000.00000, 109.9, 113.789, 0.000525419, 11.947, 36.9794, -90.1902, 36.9794, 89.8097
9, 0.00000, 110.085, 113.843, 0.000526245, 11.9857, 37.0882, -90.1371, 37.0882, 89.8629
9, 600.00000, 110.055, 113.833, 0.000526054, 11.9631, 37.1171, -90.1485, 37.1171, 89.8515
9, 1200.00000, 109.618, 113.702, 0.000523986, 11.837, 36.9546, -90.2785, 36.9546, 89.7214
9, 1800.00000, 108.973, 113.51, 0.000520973, 11.6648, 36.6762, -90.4697, 36.6762, 89.5303
9, 2400.00000, 109.095, 113.548, 0.0005216, 11.7147, 36.6818, -90.4304, 36.6818, 89.5695
9, 3000.00000, 110.194, 113.908, 0.000527707, 12.3064, 36.3274, -90.0549, 36.3274, 89.9451
10, 0.00000, 109.417, 113.684, 0.000524304, 12.1688, 35.8071, -90.2719, 35.8071, 89.7281
10, 600.00000, 109.556, 113.729, 0.000525057, 12.2381, 35.778, -90.2254, 35.778, 89.7746
10, 1200.00000, 110.375, 113.978, 0.000529044, 12.5034, 35.9918, -89.9759, 35.9918, 90.0241
10, 1800.00000, 111.133, 114.186, 0.000532345, 12.7183, 35.7028, -88.7075, 35.7028, 91.2924
10, 2400.00000, 109.189, 113.627, 0.000523545, 12.2039, 35.4477, -90.3231, 35.4477, 89.6768
10, 3000.00000, 109.41, 113.705, 0.00052493, 12.3693, 35.2487, -90.2393, 35.2487, 89.7606
11, 0.00000, 109.331, 113.693, 0.000524934, 12.4621, 34.9027, -90.243, 34.9027, 89.7569
11, 600.00000, 110.259, 114.014, 0.000530643, 13.1209, 34.1452, -89.8986, 34.1453, 90.1014
11, 1200.00000, 109.054, 113.692, 0.000526084, 13.1334, 32.7433, -90.1959, 32.7433, 89.804
11, 1800.00000, 109.332, 113.808, 0.000528364, 13.504, 32.0395, -90.0628, 32.0395, 89.9372
11, 2400.00000, 109.431, 113.906, 0.000530864, 14.1421, 30.3971, -89.9261, 30.3971, 90.0738
11, 3000.00000, 109.899, 114.068, 0.000533753, 14.4674, 30.0193, -89.7526, 30.0194, 90.2473
12, 0.00000, 112.792, 114.875, 0.000549002, 15.3802, 29.6005, -87.5252, 29.6005, 92.4747
12, 600.00000, 111.767, 114.702, 0.000545142, 15.7689, 27.8926, -88.0951, 27.8926, 91.9049
12, 1200.00000, 111.198, 114.585, 0.000544051, 16.0889, 26.5097, -88.1042, 26.5097, 91.8957
12, 1800.00000, 111.534, 114.744, 0.000547364, 16.6693, 25.2171, -87.9592, 25.2171, 92.0408
12, 2400.00000, 112.382, 114.946, 0.00055298, 17.0111, 24.7437, -87.2837, 24.7437, 92.7162
12, 3000.00000, 112.932, 115.05, 0.000553558, 16.5747, 26.4509, -87.315, 26.4509, 92.685
13, 0.00000, 113.207, 115.171, 0.000555899, 16.9597, 25.6473, -87.2288, 25.6474, 92.7711
13, 600.00000, 112.178, 114.764, 0.000546979, 15.7851, 28.0566, -88.0906, 28.0566, 91.9094
13, 1200.00000, 112.944, 115.023, 0.00055271, 16.3133, 27.1786, -87.3582, 27.1786, 92.6417
13, 1800.00000, 112.224, 114.838, 0.000549039, 16.3246, 26.6124, -87.9886, 26.6124, 92.0113
13, 2400.00000, 111.523, 114.261, 0.000534588, 12.8868, 35.4354, -88.6793, 35.4354, 91.3206
13, 3000.00000, 111.005, 114.106, 0.000530486, 12.305, 36.722, -88.7942, 36.722, 91.2057
14, 0.00000, 110.631, 113.896, 0.000525854, 11.3312, 39.0564, -89.0053, 39.0564, 90.9947
14, 600.00000, 110.111, 113.749, 0.000523228, 11.029, 39.7758, -90.2908, 39.7758, 89.7091
14, 1200.00000, 109.847, 113.647, 0.000521287, 10.7374, 40.2682, -90.4057, 40.2682, 89.5943
14, 1800.00000, 109.6, 113.588, 0.000520589, 10.8099, 39.7715, -90.4557, 39.7715, 89.5442
