hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 125.442, -32.6396, 125.743, -152.727, 125.581, 87.1412, 2.02864E-006, 138.915, 61.3883, 122.951, 62.6123, 9.58387, 69.2633, -111.081, 4.36277, 141.934
0, 1200.00000, 124.281, -32.9274, 124.589, -153.013, 124.424, 86.8507, 1.99403E-006, 138.017, 60.9781, 122.76, 62.0534, 9.50979, 68.8635, -111.167, 4.28519, 141.188
0, 1800.00000, 124.661, -32.8278, 124.976, -152.92, 124.794, 86.9435, 1.99385E-006, 137.086, 60.9201, 122.706, 62.1801, 9.70282, 69.1855, -111.244, 4.29475, 140.307
0, 2400.00000, 124.578, -32.8575, 124.893, -152.948, 124.717, 86.9143, 2.02325E-006, 138.122, 61.5514, 122.722, 62.7572, 9.62308, 69.7521, -111.219, 4.33782, 140.68
0, 3000.00000, 124.78, -32.7994, 125.095, -152.891, 124.914, 86.9718, 2.00282E-006, 137.163, 61.0585, 122.725, 62.3316, 9.70745, 69.3311, -111.231, 4.31338, 140.419
1, 0.00000, 124.522, -32.8661, 124.832, -152.954, 124.661, 86.9096, 1.99759E-006, 137.658, 61.0395, 122.757, 62.1937, 9.58475, 69.0648, -111.185, 4.3, 140.951
1, 600.00000, 124.667, -32.8304, 124.968, -152.915, 124.81, 86.9514, 1.99674E-006, 138.414, 60.9712, 122.859, 62.0568, 9.49303, 68.7253, -111.107, 4.3009, 141.734
1, 1200.00000, 124.756, -32.7977, 125.053, -152.882, 124.895, 86.9866, 1.96986E-006, 138.441, 60.158, 122.882, 61.2603, 9.53188, 67.8456, -111.1, 4.2449, 141.671
1, 1800.00000, 124.991, -32.725, 125.281, -152.809, 125.126, 87.0639, 1.93937E-006, 138.535, 59.0772, 122.946, 60.2022, 9.57321, 66.6262, -111.07, 4.17691, 141.794
1, 2400.00000, 124.691, -32.7966, 124.974, -152.876, 124.831, 86.9983, 1.91998E-006, 139.055, 58.6134, 122.986, 59.6101, 9.45149, 65.8597, -111.015, 4.13286, 142.336
1, 3000.00000, 125.017, -32.7111, 125.291, -152.788, 125.157, 87.0899, 1.91366E-006, 139.791, 58.2399, 123.106, 59.2121, 9.40761, 65.2485, -110.934, 4.12115, 143.045
2, 0.00000, 124.618, -32.8104, 124.894, -152.886, 124.76, 86.9898, 1.90141E-006, 139.5, 58.1279, 123.042, 59.0521, 9.37751, 65.1371, -110.968, 4.09282, 142.788
2, 600.00000, 125.17, -32.6611, 125.448, -152.741, 125.302, 87.1364, 1.89005E-006, 139.022, 57.486, 123.051, 58.5795, 9.57212, 64.7187, -111.001, 4.07107, 142.216
2, 1200.00000, 124.86, -32.7376, 125.138, -152.817, 124.993, 87.0604, 1.87876E-006, 138.836, 57.3354, 123.017, 58.3769, 9.53091, 64.5161, -111.016, 4.04406, 142.136
2, 1800.00000, 125.191, -32.6538, 125.468, -152.734, 125.323, 87.1445, 1.88358E-006, 138.989, 57.3246, 123.06, 58.4196, 9.57438, 64.5328, -111.002, 4.05663, 142.219
2, 2400.00000, 124.719, -32.7721, 125.001, -152.853, 124.851, 87.0231, 1.87611E-006, 138.39, 57.3159, 122.955, 58.3812, 9.57311, 64.621, -111.06, 4.03718, 141.701
2, 3000.00000, 124.975, -32.7103, 125.257, -152.791, 125.107, 87.0851, 1.88856E-006, 138.686, 57.5448, 122.998, 58.6352, 9.58132, 64.8508, -111.033, 4.06729, 141.929
3, 0.00000, 124.908, -32.7261, 125.189, -152.807, 125.039, 87.0691, 1.8856E-006, 138.614, 57.451, 122.982, 58.54, 9.58643, 64.7685, -111.043, 4.05832, 141.832
3, 600.00000, 125.1, -32.6772, 125.381, -152.759, 125.23, 87.1179, 1.88577E-006, 138.726, 57.4197, 123.003, 58.5453, 9.62113, 64.7689, -111.043, 4.0592, 141.799
3, 1200.00000, 124.779, -32.7544, 125.075, -152.842, 124.902, 87.0301, 1.88124E-006, 137.003, 57.4053, 122.804, 58.6483, 9.79348, 65.2246, -111.194, 4.04764, 140.285
3, 1800.00000, 125.013, -32.6817, 125.324, -152.778, 125.12, 87.0907, 1.86227E-006, 135.098, 56.6889, 122.621, 58.2019, 10.1508, 65.1556, -111.368, 4.01117, 138.221
3, 2400.00000, 124.862, -32.7087, 125.185, -152.811, 124.959, 87.0543, 1.84561E-006, 133.306, 56.1031, 122.434, 57.7677, 10.3853, 65.0292, -111.517, 3.97044, 136.513
3, 3000.00000, 125.026, -32.6743, 125.366, -152.786, 125.111, 87.0758, 1.84893E-006, 131.497, 56.9609, 122.279, 58.8635, 10.5819, 66.5375, -111.742, 3.98259, 134.59
4, 0.00000, 124.627, -32.7737, 124.988, -152.894, 124.703, 86.9609, 1.86156E-006, 129.104, 57.2201, 122.004, 59.2885, 10.8069, 67.4787, -111.942, 3.99738, 132.429
4, 600.00000, 125.008, -32.6784, 125.387, -152.808, 125.07, 87.0422, 1.86755E-006, 127.407, 57.6712, 121.849, 60.024, 11.0877, 68.6547, -112.124, 4.03163, 130.447
