hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 125.178, -32.7613, 125.481, -152.849, 125.319, 87.0188, 2.02368E-006, 138.793, 61.3978, 122.861, 62.5762, 9.49387, 69.249, -111.148, 4.35207, 141.813
0, 1200.00000, 123.972, -33.0719, 124.282, -153.157, 124.117, 86.7054, 1.98844E-006, 137.877, 60.9907, 122.653, 62.0124, 9.40298, 68.8485, -111.246, 4.27275, 141.044
0, 1800.00000, 124.367, -32.9647, 124.684, -153.056, 124.502, 86.8058, 1.98827E-006, 136.949, 60.9316, 122.606, 62.1407, 9.60153, 69.1701, -111.319, 4.28292, 140.171
0, 2400.00000, 124.281, -32.9958, 124.599, -153.086, 124.422, 86.7751, 2.01767E-006, 137.985, 61.5632, 122.62, 62.7171, 9.52075, 69.7367, -111.295, 4.32575, 140.542
0, 3000.00000, 124.491, -32.9339, 124.808, -153.026, 124.626, 86.8364, 1.99736E-006, 137.028, 61.0697, 122.626, 62.2926, 9.60791, 69.3159, -111.304, 4.3017, 140.285
1, 0.00000, 124.223, -33.0058, 124.534, -153.094, 124.364, 86.7691, 1.99203E-006, 137.519, 61.0515, 122.654, 62.1537, 9.48147, 69.0497, -111.262, 4.28792, 140.812
1, 600.00000, 124.373, -32.9673, 124.676, -153.052, 124.518, 86.8137, 1.99122E-006, 138.277, 60.9828, 122.759, 62.0176, 9.39181, 68.7108, -111.182, 4.28905, 141.598
1, 1200.00000, 124.464, -32.9332, 124.764, -153.017, 124.606, 86.8503, 1.96448E-006, 138.304, 60.1692, 122.783, 61.2219, 9.43172, 67.8312, -111.174, 4.23333, 141.536
1, 1800.00000, 124.708, -32.8563, 125, -152.939, 124.845, 86.9318, 1.93422E-006, 138.404, 59.0876, 122.85, 60.1653, 9.47613, 66.612, -111.142, 4.16587, 141.663
1, 2400.00000, 124.396, -32.934, 124.681, -153.013, 124.538, 86.8602, 1.91471E-006, 138.918, 58.6245, 122.885, 59.5723, 9.34995, 65.8458, -111.09, 4.12144, 142.199
1, 3000.00000, 124.734, -32.8423, 125.01, -152.918, 124.876, 86.958, 1.90858E-006, 139.66, 58.2502, 123.009, 59.1759, 9.31065, 65.2352, -111.006, 4.11027, 142.914
2, 0.00000, 124.319, -32.9494, 124.597, -153.025, 124.463, 86.8501, 1.89612E-006, 139.361, 58.1391, 122.94, 59.0142, 9.27478, 65.1235, -111.044, 4.08137, 142.649
2, 600.00000, 124.892, -32.7895, 125.172, -152.869, 125.026, 87.0073, 1.8851E-006, 138.895, 57.4957, 122.956, 58.5442, 9.47717, 64.7051, -111.072, 4.06054, 142.088
2, 1200.00000, 124.57, -32.8721, 124.85, -152.951, 124.705, 86.9252, 1.87371E-006, 138.701, 57.3457, 122.918, 58.3404, 9.43147, 64.5023, -111.09, 4.03311, 142.002
2, 1800.00000, 124.915, -32.7818, 125.193, -152.861, 125.048, 87.0157, 1.87868E-006, 138.863, 57.3342, 122.966, 58.3845, 9.4797, 64.5192, -111.072, 4.04616, 142.092
2, 2400.00000, 124.424, -32.9093, 124.708, -152.989, 124.558, 86.8851, 1.871E-006, 138.252, 57.3266, 122.854, 58.3441, 9.47163, 64.607, -111.135, 4.02602, 141.565
2, 3000.00000, 124.691, -32.8424, 124.974, -152.923, 124.824, 86.9523, 1.8835E-006, 138.555, 57.5549, 122.901, 58.5991, 9.4836, 64.837, -111.106, 4.05646, 141.798
3, 0.00000, 124.62, -32.8595, 124.904, -152.94, 124.754, 86.9348, 1.88054E-006, 138.484, 57.4612, 122.884, 58.5035, 9.48769, 64.7545, -111.117, 4.04742, 141.699
3, 600.00000, 124.82, -32.8069, 125.103, -152.888, 124.951, 86.9874, 1.88083E-006, 138.589, 57.4298, 122.908, 58.5098, 9.5252, 64.7553, -111.114, 4.04859, 141.669
3, 1200.00000, 124.487, -32.8903, 124.785, -152.977, 124.612, 86.8934, 1.87617E-006, 136.866, 57.4157, 122.704, 58.6113, 9.69293, 65.2099, -111.268, 4.03657, 140.149
3, 1800.00000, 124.729, -32.813, 125.042, -152.909, 124.838, 86.9586, 1.85725E-006, 134.969, 56.6986, 122.524, 58.1659, 10.0535, 65.1401, -111.441, 4.00055, 138.09
3, 2400.00000, 124.572, -32.843, 124.897, -152.945, 124.671, 86.9191, 1.84069E-006, 133.17, 56.1129, 122.336, 57.7312, 10.2857, 65.0129, -111.591, 3.95968, 136.379
3, 3000.00000, 124.744, -32.8049, 125.086, -152.916, 124.83, 86.9442, 1.84393E-006, 131.37, 56.9698, 122.184, 58.8275, 10.4851, 66.5201, -111.815, 3.9721, 134.46
4, 0.00000, 124.33, -32.9118, 124.693, -153.032, 124.407, 86.8217, 1.85669E-006, 128.96, 57.2299, 121.903, 59.2505, 10.7045, 67.4599, -112.019, 3.98625, 132.291
4, 600.00000, 124.727, -32.8087, 125.108, -152.939, 124.79, 86.9108, 1.86225E-006, 127.284, 57.6798, 121.754, 59.9874, 10.991, 68.6352, -112.197, 4.02102, 130.317
4, 1200.00000, 124.379, -32.9064, 124.773, -153.041, 124.438, 86.8038, 1.8799E-006, 125.722, 58.4039, 121.603, 60.7842, 11.0329, 69.743, -112.342, 4.03554, 129.08
4, 1800.00000, 124.575, -32.8639, 124.995, -153.011, 124.618, 86.8265, 1.90382E-006, 123.426, 59.5995, 121.385, 62.298, 11.2988, 71.8932, -112.58, 4.10602, 126.578
4, 2400.00000, 124.383, -32.9199, 124.806, -153.067, 124.428, 86.7682, 1.94067E-006, 122.058, 60.0637, 121.353, 62.7449, 11.2569, 72.418, -112.596, 4.13038, 126.571
4, 3000.00000, 124.321, -32.9403, 124.745, -153.088, 124.368, 86.7472, 1.93442E-006, 123.043, 60.3857, 121.354, 63.0499, 11.2213, 72.7432, -112.592, 4.14708, 126.71
5, 0.00000, 124.364, -32.9348, 124.791, -153.084, 124.411, 86.75, 1.943E-006, 123.563, 60.8683, 121.346, 63.5594, 11.2228, 73.3389, -112.597, 4.18288, 126.692
5, 600.00000, 124.375, -32.9332, 124.807, -153.084, 124.42, 86.7481, 1.95375E-006, 122.891, 61.0671, 121.307, 63.8035, 11.2651, 73.6947, -112.624, 4.20363, 126.376
5, 1200.00000, 124.504, -32.9089, 124.937, -153.06, 124.551, 86.7718, 1.96828E-006, 124.691, 61.7934, 121.352, 64.5322, 11.2146, 74.4391, -112.596, 4.25172, 126.81
5, 1800.00000, 124.263, -32.9738, 124.701, -153.126, 124.311, 86.7037, 1.98192E-006, 123.254, 61.9797, 121.288, 64.7133, 11.2115, 74.7268, -112.632, 4.2598, 126.5
5, 2400.00000, 123.739, -33.1137, 124.175, -153.262, 123.794, 86.5659, 1.97351E-006, 123.451, 62.0201, 121.258, 64.623, 11.086, 74.5807, -112.636, 4.23317, 126.731
5, 3000.00000, 124.019, -33.2275, 124.439, -153.371, 124.076, 86.4637, 1.93554E-006, 124.144, 61.1894, 121.22, 63.7079, 10.8188, 73.2868, -112.732, 4.17021, 127.521
6, 0.00000, 125.551, -32.7838, 125.987, -152.937, 125.597, 86.8983, 1.96201E-006, 124.695, 59.4573, 120.48, 62.1624, 10.8825, 72.0765, -113.092, 4.23052, 128.204
6, 600.00000, 124.593, -33.0336, 125.017, -153.19, 124.629, 86.6507, 1.95218E-006, 125.246, 59.2669, 120.444, 62.2036, 10.6801, 71.8034, -113.371, 4.20007, 128.457
6, 1200.00000, 123.692, -33.6547, 124.119, -153.809, 123.733, 86.0283, 1.92359E-006, 124.13, 58.9926, 119.919, 61.7977, 10.2053, 71.4542, -113.825, 4.14752, 127.616
6, 1800.00000, 125.32, -33.0349, 125.745, -153.197, 125.344, 86.6464, 1.96981E-006, 124.78, 59.1908, 120.29, 62.3757, 10.6597, 72.0178, -113.606, 4.23861, 127.936
6, 2400.00000, 123.374, -34.1292, 123.806, -154.292, 123.403, 85.5453, 1.95281E-006, 123.317, 59.6728, 119.458, 62.773, 9.83028, 72.5394, -114.421, 4.20766, 126.697
6, 3000.00000, 123.191, -34.9392, 123.631, -155.114, 123.203, 84.724, 1.99436E-006, 121.852, 60.5674, 118.624, 64.0939, 9.12973, 74.018, -115.433, 4.29751, 125.24
7, 0.00000, 122.652, -35.0879, 123.091, -155.268, 122.656, 84.5718, 2.00465E-006, 121.873, 60.8078, 118.558, 64.5419, 9.06087, 74.4293, -115.63, 4.31163, 124.999
7, 600.00000, 122.405, -35.1582, 122.855, -155.35, 122.391, 84.4875, 2.03562E-006, 120.865, 61.328, 118.4, 65.4738, 9.18843, 75.6397, -115.894, 4.38087, 123.724
7, 1200.00000, 122.823, -35.0458, 123.265, -155.248, 122.787, 84.5984, 2.05652E-006, 120.446, 61.3801, 118.48, 66.03, 9.24637, 75.9947, -116.102, 4.43206, 123.82
7, 1800.00000, 122.372, -35.1745, 122.814, -155.384, 122.324, 84.464, 2.08063E-006, 120.525, 61.9085, 118.424, 66.8752, 9.18914, 76.8242, -116.33, 4.47569, 123.57
7, 2400.00000, 122.983, -35.0086, 123.438, -155.235, 122.905, 84.6136, 2.13224E-006, 118.223, 62.278, 118.325, 67.8867, 9.50213, 78.1717, -116.571, 4.58872, 122.113
7, 3000.00000, 122.734, -35.2553, 123.223, -155.52, 122.596, 84.3268, 2.21601E-006, 114.732, 62.7296, 117.68, 69.6518, 9.82629, 80.7507, -117.465, 4.77385, 118.079
8, 0.00000, 122.754, -35.2557, 123.246, -155.536, 122.589, 84.3156, 2.2587E-006, 115.271, 63.3526, 117.638, 70.9097, 9.89105, 82.0628, -117.752, 4.87274, 117.575
