hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 600.00000, 968.881, 23.6264, 969.195, 23.6209, 974.816, 23.6518
0, 1200.00000, 1142.41, 23.6389, 1142.66, 23.6395, 1148.17, 23.6592
0, 1800.00000, 1086.89, 23.6574, 1087.21, 23.6568, 1092.82, 23.6819
0, 2400.00000, 1097.08, 23.6542, 1097.38, 23.6538, 1103.01, 23.6779
0, 3000.00000, 1069.21, 23.6634, 1069.53, 23.6624, 1075.16, 23.6887
1, 0.00000, 1107.11, 23.651, 1107.39, 23.6508, 1112.95, 23.6733
1, 600.00000, 1086.89, 23.6582, 1087.16, 23.6573, 1092.66, 23.6797
1, 1200.00000, 1076.69, 23.6613, 1076.96, 23.6602, 1082.4, 23.6828
1, 1800.00000, 1046.15, 23.6721, 1046.43, 23.6702, 1051.78, 23.6941
1, 2400.00000, 1091.63, 23.6572, 1091.86, 23.6564, 1097.1, 23.6759
1, 3000.00000, 1046.04, 23.6729, 1046.27, 23.6708, 1051.45, 23.6917
2, 0.00000, 1104.19, 23.6532, 1104.4, 23.6527, 1109.54, 23.6703
2, 600.00000, 1025.66, 23.6791, 1025.93, 23.6768, 1031.12, 23.7002
2, 1200.00000, 1071.23, 23.6641, 1071.48, 23.663, 1076.63, 23.6834
2, 1800.00000, 1023.1, 23.6801, 1023.37, 23.6777, 1028.54, 23.7011
2, 2400.00000, 1091.46, 23.6571, 1091.71, 23.6565, 1096.87, 23.6764
2, 3000.00000, 1053.55, 23.6698, 1053.82, 23.6682, 1059.01, 23.6903
3, 0.00000, 1063.64, 23.6669, 1063.91, 23.6656, 1069.09, 23.6872
3, 600.00000, 1035.79, 23.6757, 1036.07, 23.6737, 1041.27, 23.6972
3, 1200.00000, 1081.37, 23.6597, 1081.67, 23.6592, 1086.96, 23.6824
3, 1800.00000, 1048.39, 23.6695, 1048.77, 23.6687, 1054.18, 23.6977
3, 2400.00000, 1071.1, 23.6612, 1071.52, 23.6614, 1076.99, 23.6913
3, 3000.00000, 1043.37, 23.6696, 1043.86, 23.6694, 1049.49, 23.705
4, 0.00000, 1099.07, 23.6499, 1099.59, 23.6517, 1105.37, 23.6868
4, 600.00000, 1040.94, 23.6682, 1041.57, 23.6688, 1047.54, 23.7129
4, 1200.00000, 1086.6, 23.6526, 1087.23, 23.6548, 1093.29, 23.6971
4, 1800.00000, 1053.87, 23.6622, 1054.62, 23.6639, 1060.94, 23.7147
4, 2400.00000, 1079.24, 23.6538, 1079.97, 23.6563, 1086.32, 23.705
4, 3000.00000, 1086.87, 23.6512, 1087.59, 23.654, 1093.96, 23.7019
5, 0.00000, 1079.36, 23.6533, 1080.1, 23.6558, 1086.52, 23.7051
5, 600.00000, 1076.85, 23.6542, 1077.6, 23.6568, 1084.07, 23.7073
5, 1200.00000, 1056.69, 23.661, 1057.46, 23.6628, 1063.98, 23.7155
5, 1800.00000, 1089.61, 23.6499, 1090.35, 23.6528, 1096.9, 23.7028
5, 2400.00000, 1162.74, 23.6253, 1163.42, 23.6302, 1169.89, 23.6725
5, 3000.00000, 1235.38, 23.6357, 1235.98, 23.6426, 1242.23, 23.6768
