hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 118.794, 116.964, 0.000587886, 19.7289, 23.8742, -86.3832, 23.8743, 93.6167
0, 1200.00000, 117.807, 116.671, 0.000582959, 19.3609, 23.8884, -86.5078, 23.8884, 93.4921
0, 1800.00000, 118.088, 116.739, 0.000583851, 19.3191, 24.3019, -86.4962, 24.3019, 93.5038
0, 2400.00000, 118.024, 116.717, 0.000583436, 19.2668, 24.3813, -86.5094, 24.3813, 93.4905
0, 3000.00000, 118.185, 116.767, 0.000584279, 19.34, 24.3451, -86.4862, 24.3451, 93.5137
1, 0.00000, 117.994, 116.721, 0.000583684, 19.3712, 24.0556, -86.4937, 24.0556, 93.5062
1, 600.00000, 118.137, 116.779, 0.000584842, 19.5535, 23.694, -86.4529, 23.694, 93.547
1, 1200.00000, 118.217, 116.814, 0.000585585, 19.6836, 23.4123, -86.425, 23.4123, 93.5749
1, 1800.00000, 118.426, 116.895, 0.000587172, 19.9169, 22.9704, -86.3715, 22.9705, 93.6284
1, 2400.00000, 118.204, 116.847, 0.000586629, 19.9957, 22.5178, -86.3726, 22.5178, 93.6273
1, 3000.00000, 118.494, 116.951, 0.00058857, 20.243, 22.119, -86.3108, 22.119, 93.6891
2, 0.00000, 118.165, 116.853, 0.00058694, 20.1257, 22.1107, -86.3527, 22.1107, 93.6472
2, 600.00000, 118.603, 116.979, 0.000589007, 20.253, 22.2031, -86.3019, 22.2031, 93.698
2, 1200.00000, 118.352, 116.908, 0.000587865, 20.1923, 22.1153, -86.3289, 22.1153, 93.671
2, 1800.00000, 118.623, 116.989, 0.000589212, 20.2891, 22.1223, -86.2943, 22.1223, 93.7056
2, 2400.00000, 118.224, 116.864, 0.000587032, 20.0893, 22.2746, -86.3551, 22.2746, 93.6448
2, 3000.00000, 118.435, 116.925, 0.000588027, 20.1504, 22.3207, -86.3306, 22.3207, 93.6693
3, 0.00000, 118.378, 116.908, 0.000587747, 20.13, 22.3188, -86.3383, 22.3188, 93.6616
3, 600.00000, 118.536, 116.955, 0.000588524, 20.1861, 22.3232, -86.3179, 22.3232, 93.682
3, 1200.00000, 118.23, 116.838, 0.000586253, 19.861, 22.9246, -86.394, 22.9247, 93.6059
3, 1800.00000, 118.367, 116.854, 0.00058618, 19.6947, 23.5376, -86.4133, 23.5377, 93.5866
3, 2400.00000, 118.203, 116.787, 0.000584819, 19.4767, 23.98, -86.4615, 23.98, 93.5384
3, 3000.00000, 118.298, 116.784, 0.000584336, 19.2371, 24.7543, -86.496, 24.7543, 93.504
4, 0.00000, 117.908, 116.629, 0.000581275, 18.761, 25.6772, -86.6028, 25.6772, 93.3971
4, 600.00000, 118.167, 116.673, 0.000581508, 18.5528, 26.5375, -86.6203, 26.5375, 93.3796
4, 1200.00000, 117.864, 116.558, 0.000579329, 18.2361, 27.0967, -86.6941, 27.0967, 93.3058
4, 1800.00000, 117.946, 116.533, 0.00057821, 17.8161, 28.3577, -86.7585, 28.3577, 93.2414
4, 2400.00000, 117.787, 116.476, 0.000577186, 17.6826, 28.5556, -86.7916, 28.5556, 93.2083
4, 3000.00000, 117.737, 116.458, 0.000576845, 17.6345, 28.6352, -86.803, 28.6353, 93.1969
5, 0.00000, 117.76, 116.455, 0.000576661, 17.5555, 28.8796, -86.8147, 28.8796, 93.1853
5, 600.00000, 117.754, 116.444, 0.000576342, 17.4657, 29.1228, -86.8299, 29.1228, 93.1701
5, 1200.00000, 117.855, 116.467, 0.000576637, 17.4457, 29.2883, -86.8263, 29.2883, 93.1737
5, 1800.00000, 117.652, 116.398, 0.000575408, 17.295, 29.4847, -86.8651, 29.4847, 93.1348
5, 2400.00000, 117.252, 116.283, 0.000573651, 17.1994, 29.3099, -86.9087, 29.31, 93.0912
5, 3000.00000, 116.904, 116.212, 0.000572916, 17.3614, 28.4888, -86.9037, 28.4888, 93.0962
6, 0.00000, 118.125, 116.584, 0.000578986, 17.855, 28.4443, -86.7396, 28.4443, 93.2604
6, 600.00000, 117.379, 116.363, 0.000575486, 17.615, 28.2996, -86.8307, 28.2996, 93.1692
6, 1200.00000, 115.447, 115.781, 0.000566081, 16.8907, 28.206, -87.0775, 28.2061, 92.9224
6, 1800.00000, 117.3, 116.334, 0.000574804, 17.5019, 28.5408, -86.8505, 28.5408, 93.1494
6, 2400.00000, 113.928, 115.305, 0.000555485, 16.087, 28.8163, -87.2887, 28.8163, 92.7112
6, 3000.00000, 111.379, 114.514, 0.000541002, 15.006, 29.6565, -88.2729, 29.6565, 91.7271
7, 0.00000, 110.927, 114.367, 0.000538473, 14.7762, 29.8862, -88.366, 29.8862, 91.6339
7, 600.00000, 110.677, 114.249, 0.000536082, 14.3534, 30.817, -88.4719, 30.817, 91.528
7, 1200.00000, 110.972, 114.332, 0.000537204, 14.353, 31.091, -88.4348, 31.091, 91.5652
7, 1800.00000, 110.604, 114.197, 0.000534846, 14.0701, 31.5269, -88.5308, 31.5269, 91.4692
7, 2400.00000, 110.981, 114.269, 0.000535228, 13.7596, 32.73, -88.5372, 32.73, 91.4628
7, 3000.00000, 109.973, 113.884, 0.000527606, 12.5425, 35.4478, -90.0607, 35.4478, 89.9392
8, 0.00000, 109.928, 113.836, 0.000526349, 12.2119, 36.3109, -90.1281, 36.3109, 89.8718
8, 600.00000, 109.957, 113.845, 0.000526487, 12.2207, 36.3214, -90.119, 36.3214, 89.881
8, 1200.00000, 109.73, 113.782, 0.000525598, 12.2117, 36.0796, -90.1782, 36.0796, 89.8217
8, 1800.00000, 109.707, 113.738, 0.000524357, 11.8593, 37.0276, -90.2435, 37.0276, 89.7565
8, 2400.00000, 110.074, 113.85, 0.00052605, 11.9541, 37.2037, -90.1333, 37.2037, 89.8667
8, 3000.00000, 109.478, 113.673, 0.000523415, 11.835, 36.8237, -90.3055, 36.8237, 89.6945
9, 0.00000, 109.675, 113.733, 0.0005243, 11.88, 36.936, -90.2473, 36.936, 89.7527
9, 600.00000, 109.643, 113.722, 0.000524105, 11.8563, 36.9643, -90.259, 36.9643, 89.7409
9, 1200.00000, 109.176, 113.578, 0.00052189, 11.7175, 36.7912, -90.4024, 36.7912, 89.5976
9, 1800.00000, 108.485, 113.365, 0.000518662, 11.5254, 36.4958, -90.6135, 36.4958, 89.3864
9, 2400.00000, 108.615, 113.407, 0.000519326, 11.5794, 36.5043, -90.5709, 36.5043, 89.4291
9, 3000.00000, 109.786, 113.798, 0.000525769, 12.2015, 36.1796, -90.1639, 36.1796, 89.836
10, 0.00000, 108.954, 113.551, 0.0005221, 12.0404, 35.6407, -90.4052, 35.6408, 89.5947
10, 600.00000, 109.103, 113.6, 0.000522901, 12.114, 35.6151, -90.3542, 35.6151, 89.6458
10, 1200.00000, 109.976, 113.872, 0.000527144, 12.4028, 35.8484, -90.0813, 35.8484, 89.9186
10, 1800.00000, 110.774, 114.095, 0.000530643, 12.635, 35.6553, -88.75, 35.6553, 91.2499
10, 2400.00000, 108.707, 113.486, 0.000521258, 12.0679, 35.2759, -90.4639, 35.2759, 89.536
10, 3000.00000, 108.943, 113.57, 0.000522709, 12.2395, 35.0831, -90.3738, 35.0831, 89.6261
11, 0.00000, 108.857, 113.555, 0.000522674, 12.3288, 34.7362, -90.381, 34.7362, 89.619
