hour, t(sec), Tap (pu)
0, 600.00000, 1
0, 1200.00000, 1
0, 1800.00000, 1
0, 2400.00000, 1
0, 3000.00000, 1
1, 0.00000, 1
1, 600.00000, 1
1, 1200.00000, 1
1, 1800.00000, 1
1, 2400.00000, 1
1, 3000.00000, 1
2, 0.00000, 1
2, 600.00000, 1
2, 1200.00000, 1
2, 1800.00000, 1
2, 2400.00000, 1
2, 3000.00000, 1
3, 0.00000, 1
3, 600.00000, 1
3, 1200.00000, 1
3, 1800.00000, 1
3, 2400.00000, 1
3, 3000.00000, 1
4, 0.00000, 1
4, 600.00000, 1
4, 1200.00000, 1
4, 1800.00000, 1
4, 2400.00000, 1
4, 3000.00000, 1
5, 0.00000, 1
5, 600.00000, 1
5, 1200.00000, 1
5, 1800.00000, 1
5, 2400.00000, 1
5, 3000.00000, 1.00625
6, 0.00000, 1.00625
6, 600.00000, 1.00625
6, 1200.00000, 1.01875
6, 1800.00000, 1.0125
6, 2400.00000, 1.03125
6, 3000.00000, 1.05625
7, 0.00000, 1.05625
7, 600.00000, 1.0625
7, 1200.00000, 1.0625
7, 1800.00000, 1.0625
7, 2400.00000, 1.0625
7, 3000.00000, 1.0625
8, 0.00000, 1.0625
8, 600.00000, 1.0625
8, 1200.00000, 1.0625
8, 1800.00000, 1.0625
8, 2400.00000, 1.0625
8, 3000.00000, 1.06875
9, 0.00000, 1.06875
9, 600.00000, 1.06875
9, 1200.00000, 1.06875
9, 1800.00000, 1.075
9, 2400.00000, 1.075
9, 3000.00000, 1.075
10, 0.00000, 1.075
10, 600.00000, 1.075
10, 1200.00000, 1.075
10, 1800.00000, 1.06875
10, 2400.00000, 1.075
10, 3000.00000, 1.075
11, 0.00000, 1.075
11, 600.00000, 1.075
11, 1200.00000, 1.08125
11, 1800.00000, 1.08125
11, 2400.00000, 1.08125
11, 3000.00000, 1.08125
12, 0.00000, 1.05625
12, 600.00000, 1.05625
12, 1200.00000, 1.0625
12, 1800.00000, 1.0625
12, 2400.00000, 1.0625
12, 3000.00000, 1.05625
13, 0.00000, 1.05625
13, 600.00000, 1.05625
13, 1200.00000, 1.05625
13, 1800.00000, 1.05625
13, 2400.00000, 1.05625
13, 3000.00000, 1.05625
14, 0.00000, 1.05625
14, 600.00000, 1.0625
14, 1200.00000, 1.0625
14, 1800.00000, 1.06875
14, 2400.00000, 1.0625
14, 3000.00000, 1.06875
15, 0.00000, 1.06875
15, 600.00000, 1.06875
15, 1200.00000, 1.0625
15, 1800.00000, 1.0625
15, 2400.00000, 1.05625
15, 3000.00000, 1.05
16, 0.00000, 1.05
16, 600.00000, 1.0625
16, 1200.00000, 1.0625
16, 1800.00000, 1.0625
16, 2400.00000, 1.0625
16, 3000.00000, 1.0625
17, 0.00000, 1.0625
17, 600.00000, 1.0625
17, 1200.00000, 1.0625
17, 1800.00000, 1.0625
17, 2400.00000, 1.0625
17, 3000.00000, 1.05625
18, 0.00000, 1.025
18, 600.00000, 0.9875
18, 1200.00000, 0.975
18, 1800.00000, 0.975
18, 2400.00000, 0.975
18, 3000.00000, 0.975
19, 0.00000, 0.975
19, 600.00000, 0.975
19, 1200.00000, 0.975
19, 1800.00000, 0.975
19, 2400.00000, 0.975
19, 3000.00000, 0.975
20, 0.00000, 0.975
20, 600.00000, 0.975
20, 1200.00000, 0.975
20, 1800.00000, 0.975
20, 2400.00000, 0.975
20, 3000.00000, 0.975
21, 0.00000, 0.975
21, 600.00000, 0.975
21, 1200.00000, 0.96875
21, 1800.00000, 0.96875
21, 2400.00000, 0.96875
21, 3000.00000, 0.96875
22, 0.00000, 0.96875
22, 600.00000, 0.96875
22, 1200.00000, 0.96875
22, 1800.00000, 0.96875
22, 2400.00000, 0.96875
22, 3000.00000, 0.96875
23, 0.00000, 0.96875
23, 600.00000, 0.96875
23, 1200.00000, 0.96875
23, 1800.00000, 0.975
23, 2400.00000, 0.975
23, 3000.00000, 0.975
24, 0.00000, 0.975
