hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7939.4, -1.65216, 7934.88, -121.631, 7931.33, 118.325, 34.3627, 155.512, 34.459, 35.6379, 34.4765, -84.5635
0, 1200.00000, 7862.94, -1.95832, 7858.41, -121.937, 7854.87, 118.019, 40.3798, 155.41, 40.4762, 35.5188, 40.4947, -84.6539
0, 1800.00000, 7888.1, -1.85752, 7883.46, -121.836, 7879.86, 118.12, 38.4024, 155.445, 38.5046, 35.5596, 38.5203, -84.6293
0, 2400.00000, 7883.5, -1.87599, 7878.86, -121.854, 7875.24, 118.101, 38.771, 155.438, 38.872, 35.5524, 38.8889, -84.6338
0, 3000.00000, 7896.08, -1.82553, 7891.44, -121.804, 7887.83, 118.152, 37.7753, 155.455, 37.8776, 35.5722, 37.8933, -84.62
1, 0.00000, 7878.93, -1.89413, 7874.35, -121.873, 7870.79, 118.083, 39.1232, 155.432, 39.2218, 35.5441, 39.2392, -84.6367
1, 600.00000, 7888.01, -1.85736, 7883.51, -121.836, 7880.01, 118.12, 38.4037, 155.443, 38.4983, 35.5562, 38.517, -84.6222
1, 1200.00000, 7892.6, -1.8388, 7888.15, -121.818, 7884.69, 118.139, 38.0323, 155.45, 38.1261, 35.5622, 38.1441, -84.6161
1, 1800.00000, 7906.33, -1.78351, 7901.97, -121.763, 7898.57, 118.195, 36.9363, 155.468, 37.0284, 35.5811, 37.0457, -84.5987
1, 2400.00000, 7885.76, -1.8656, 7881.49, -121.845, 7878.17, 118.113, 38.5473, 155.44, 38.6351, 35.5471, 38.6539, -84.6192
1, 3000.00000, 7906.28, -1.78306, 7902.1, -121.763, 7898.83, 118.196, 36.9239, 155.466, 37.0082, 35.5765, 37.0277, -84.5914
2, 0.00000, 7880.04, -1.88828, 7875.85, -121.868, 7872.59, 118.09, 38.9894, 155.432, 39.0737, 35.5363, 39.0934, -84.6231
2, 600.00000, 7915.49, -1.74638, 7911.27, -121.727, 7908, 118.232, 36.1926, 155.48, 36.2805, 35.5916, 36.2976, -84.5841
