hour, t(sec), Tap (pu)
0, 600.00000, 1.00625
0, 1200.00000, 1.01875
0, 1800.00000, 1.01875
0, 2400.00000, 1.01875
0, 3000.00000, 1.01875
1, 0.00000, 1.01875
1, 600.00000, 1.01875
1, 1200.00000, 1.01875
1, 1800.00000, 1.01875
1, 2400.00000, 1.01875
1, 3000.00000, 1.01875
2, 0.00000, 1.01875
2, 600.00000, 1.01875
2, 1200.00000, 1.01875
2, 1800.00000, 1.01875
2, 2400.00000, 1.01875
2, 3000.00000, 1.01875
3, 0.00000, 1.01875
3, 600.00000, 1.01875
3, 1200.00000, 1.01875
3, 1800.00000, 1.01875
3, 2400.00000, 1.01875
3, 3000.00000, 1.01875
4, 0.00000, 1.01875
4, 600.00000, 1.01875
4, 1200.00000, 1.01875
4, 1800.00000, 1.01875
4, 2400.00000, 1.01875
4, 3000.00000, 1.01875
5, 0.00000, 1.01875
5, 600.00000, 1.01875
5, 1200.00000, 1.01875
5, 1800.00000, 1.01875
5, 2400.00000, 1.01875
5, 3000.00000, 1.025
6, 0.00000, 1.01875
6, 600.00000, 1.01875
6, 1200.00000, 1.04375
6, 1800.00000, 1.03125
6, 2400.00000, 1.05625
6, 3000.00000, 1.0875
7, 0.00000, 1.09375
7, 600.00000, 1.1
7, 1200.00000, 1.1
7, 1800.00000, 1.1
7, 2400.00000, 1.1
7, 3000.00000, 1.1
8, 0.00000, 1.1
8, 600.00000, 1.1
8, 1200.00000, 1.1
8, 1800.00000, 1.1
8, 2400.00000, 1.1
8, 3000.00000, 1.1
9, 0.00000, 1.1
9, 600.00000, 1.1
9, 1200.00000, 1.1
9, 1800.00000, 1.1
9, 2400.00000, 1.1
9, 3000.00000, 1.1
10, 0.00000, 1.1
10, 600.00000, 1.1
10, 1200.00000, 1.1
10, 1800.00000, 1.1
10, 2400.00000, 1.1
10, 3000.00000, 1.1
11, 0.00000, 1.1
11, 600.00000, 1.1
11, 1200.00000, 1.1
11, 1800.00000, 1.1
11, 2400.00000, 1.1
11, 3000.00000, 1.1
12, 0.00000, 1.0875
12, 600.00000, 1.0875
12, 1200.00000, 1.1
12, 1800.00000, 1.1
12, 2400.00000, 1.1
12, 3000.00000, 1.0875
13, 0.00000, 1.0875
13, 600.00000, 1.0875
13, 1200.00000, 1.0875
13, 1800.00000, 1.0875
13, 2400.00000, 1.0875
13, 3000.00000, 1.09375
14, 0.00000, 1.09375
14, 600.00000, 1.1
14, 1200.00000, 1.1
14, 1800.00000, 1.1
14, 2400.00000, 1.09375
14, 3000.00000, 1.1
15, 0.00000, 1.1
15, 600.00000, 1.1
15, 1200.00000, 1.09375
15, 1800.00000, 1.09375
15, 2400.00000, 1.0875
15, 3000.00000, 1.08125
16, 0.00000, 1.0875
16, 600.00000, 1.1
16, 1200.00000, 1.1
16, 1800.00000, 1.1
16, 2400.00000, 1.1
16, 3000.00000, 1.1
17, 0.00000, 1.1
17, 600.00000, 1.1
17, 1200.00000, 1.1
17, 1800.00000, 1.1
17, 2400.00000, 1.1
17, 3000.00000, 1.08125
18, 0.00000, 1.05
18, 600.00000, 1
18, 1200.00000, 0.98125
18, 1800.00000, 0.98125
18, 2400.00000, 0.98125
18, 3000.00000, 0.98125
19, 0.00000, 0.98125
19, 600.00000, 0.98125
19, 1200.00000, 0.975
19, 1800.00000, 0.975
19, 2400.00000, 0.975
19, 3000.00000, 0.975
20, 0.00000, 0.975
20, 600.00000, 0.975
20, 1200.00000, 0.975
20, 1800.00000, 0.975
20, 2400.00000, 0.975
20, 3000.00000, 0.975
21, 0.00000, 0.975
21, 600.00000, 0.975
21, 1200.00000, 0.975
21, 1800.00000, 0.975
21, 2400.00000, 0.975
21, 3000.00000, 0.975
22, 0.00000, 0.975
22, 600.00000, 0.975
22, 1200.00000, 0.975
22, 1800.00000, 0.975
22, 2400.00000, 0.975
22, 3000.00000, 0.975
23, 0.00000, 0.975
23, 600.00000, 0.975
23, 1200.00000, 0.975
23, 1800.00000, 0.98125
23, 2400.00000, 0.98125
23, 3000.00000, 0.98125
24, 0.00000, 0.98125
