hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 600.00000, 914.55, 22.5836, 914.846, 22.5714, 920.252, 22.61
0, 1200.00000, 1074.48, 22.5242, 1074.67, 22.522, 1079.95, 22.5486
0, 1800.00000, 1022.1, 22.5417, 1022.39, 22.5363, 1027.76, 22.5678
0, 2400.00000, 1031.74, 22.5407, 1031.97, 22.5364, 1037.37, 22.5647
0, 3000.00000, 1005.43, 22.5481, 1005.72, 22.5419, 1011.12, 22.5748
1, 0.00000, 1041.2, 22.5372, 1041.42, 22.5333, 1046.75, 22.5599
1, 600.00000, 1022.1, 22.5425, 1022.34, 22.5366, 1027.61, 22.5653
1, 1200.00000, 1012.48, 22.546, 1012.72, 22.5397, 1017.94, 22.5687
1, 1800.00000, 983.736, 22.5567, 983.984, 22.5489, 989.136, 22.5793
1, 2400.00000, 1026.58, 22.5413, 1026.78, 22.5355, 1031.81, 22.5609
1, 3000.00000, 983.59, 22.5582, 983.795, 22.5499, 988.788, 22.5772
2, 0.00000, 1038.43, 22.537, 1038.61, 22.5316, 1043.55, 22.555
2, 600.00000, 964.382, 22.565, 964.619, 22.556, 969.629, 22.586
2, 1200.00000, 1007.35, 22.5487, 1007.57, 22.542, 1012.52, 22.5684
2, 1800.00000, 961.969, 22.566, 962.206, 22.5569, 967.201, 22.5868
2, 2400.00000, 1026.42, 22.5411, 1026.64, 22.5355, 1031.61, 22.5612
2, 3000.00000, 990.726, 22.5541, 990.958, 22.5466, 995.968, 22.5749
3, 0.00000, 1000.2, 22.5514, 1000.43, 22.5444, 1005.43, 22.5721
3, 600.00000, 973.973, 22.5606, 974.217, 22.5523, 979.238, 22.5821
3, 1200.00000, 1016.91, 22.544, 1017.17, 22.5383, 1022.26, 22.5675
3, 1800.00000, 985.809, 22.5548, 986.149, 22.5481, 991.359, 22.5834
3, 2400.00000, 1007.23, 22.5458, 1007.6, 22.5407, 1012.86, 22.5768
3, 3000.00000, 981.074, 22.5549, 981.518, 22.549, 986.931, 22.5912
4, 0.00000, 1033.59, 22.5334, 1034.07, 22.5314, 1039.6, 22.576
4, 600.00000, 978.785, 22.5532, 979.356, 22.5489, 985.088, 22.6035
4, 1200.00000, 1021.83, 22.5364, 1022.41, 22.5348, 1028.19, 22.5872
4, 1800.00000, 990.969, 22.5467, 991.65, 22.5444, 997.681, 22.6062
4, 2400.00000, 1014.85, 22.5381, 1015.52, 22.5371, 1021.57, 22.5966
4, 3000.00000, 1022.07, 22.535, 1022.73, 22.5345, 1028.79, 22.5932
5, 0.00000, 1014.99, 22.5373, 1015.67, 22.5365, 1021.78, 22.5968
5, 600.00000, 1012.63, 22.5381, 1013.32, 22.5372, 1019.47, 22.5988
5, 1200.00000, 993.647, 22.545, 994.348, 22.543, 1000.56, 22.6071
5, 1800.00000, 1024.69, 22.536, 1025.34, 22.5366, 1031.57, 22.5954
5, 2400.00000, 1093.68, 22.5099, 1094.26, 22.5154, 1100.36, 22.5646
5, 3000.00000, 1159.91, 22.4847, 1160.4, 22.4922, 1166.29, 22.5324
6, 0.00000, 959.859, 22.5628, 960.597, 22.5564, 966.693, 22.6252
6, 600.00000, 1086.23, 22.5161, 1086.84, 22.5215, 1092.71, 22.5708
6, 1200.00000, 1396.71, 22.9126, 1397.09, 22.9301, 1402.6, 22.9539
6, 1800.00000, 1091, 22.5136, 1091.63, 22.5198, 1097.53, 22.5696
6, 2400.00000, 1611.8, 22.8986, 1612.05, 22.9215, 1617.4, 22.9349
6, 3000.00000, 1947.61, 24.3344, 1947.69, 24.3673, 1952.63, 24.3637
7, 0.00000, 2002.03, 24.3744, 2002.08, 24.4088, 2006.97, 24.4034
7, 600.00000, 2025.22, 24.3918, 2025.28, 24.4285, 2030.25, 24.423
7, 1200.00000, 1982.76, 24.3599, 1982.87, 24.3977, 1987.89, 24.3934
7, 1800.00000, 2027.25, 24.3917, 2027.34, 24.4313, 2032.34, 24.4256
7, 2400.00000, 1963.46, 24.3436, 1963.64, 24.3853, 1968.85, 24.3827
7, 3000.00000, 2056.16, 24.411, 2056.36, 24.459, 2061.72, 24.4553
8, 0.00000, 2052.44, 24.4069, 2052.67, 24.4574, 2058.1, 24.4542
8, 600.00000, 2048.61, 24.4016, 2048.87, 24.4558, 2054.19, 24.4519
8, 1200.00000, 2080.93, 24.4241, 2081.21, 24.4851, 2086.24, 24.4783
8, 1800.00000, 2073.36, 24.4178, 2073.69, 24.4814, 2078.8, 24.4756
8, 2400.00000, 2023.51, 24.3772, 2023.95, 24.4485, 2028.9, 24.4432
8, 3000.00000, 2105.48, 24.437, 2105.85, 24.51, 2110.59, 24.501
9, 0.00000, 2078.79, 24.4155, 2079.27, 24.4976, 2083.75, 24.488
9, 600.00000, 2082.57, 24.4177, 2083.06, 24.5021, 2087.47, 24.4918
9, 1200.00000, 2144.82, 24.4629, 2145.28, 24.5493, 2149.51, 24.5364
9, 1800.00000, 2235.68, 24.5326, 2236.06, 24.6198, 2240.1, 24.6038
9, 2400.00000, 2219.1, 24.5221, 2219.5, 24.6108, 2223.52, 24.5947
9, 3000.00000, 2073.02, 24.4062, 2073.57, 24.4993, 2077.57, 24.4862
10, 0.00000, 2185.83, 24.4919, 2186.26, 24.5832, 2190.08, 24.5663
10, 600.00000, 2167.17, 24.4794, 2167.63, 24.5743, 2171.35, 24.557
10, 1200.00000, 2052, 24.3876, 2052.61, 24.4875, 2056.36, 24.4731
10, 1800.00000, 1955.52, 24.312, 1956.22, 24.4157, 1960.03, 24.4037
10, 2400.00000, 2220.95, 24.522, 2221.37, 24.6188, 2224.9, 24.5989
10, 3000.00000, 2193.2, 24.5002, 2193.64, 24.5972, 2197.17, 24.5778
11, 0.00000, 2207.94, 24.5106, 2208.37, 24.6071, 2211.83, 24.5873
11, 600.00000, 2089.89, 24.418, 2090.44, 24.5164, 2093.86, 24.499
11, 1200.00000, 2270.16, 24.5555, 2270.51, 24.6476, 2273.64, 24.6255
11, 1800.00000, 2240.68, 24.5402, 2241.04, 24.6315, 2244.11, 24.61
11, 2400.00000, 2246.01, 24.5446, 2246.35, 24.6331, 2249.21, 24.6109
11, 3000.00000, 2186.87, 24.4998, 2187.26, 24.5892, 2190.09, 24.5682
12, 0.00000, 1810.13, 24.2035, 1810.86, 24.3036, 1813.93, 24.291
12, 600.00000, 1956.62, 24.3161, 1957.15, 24.4092, 1959.87, 24.3909
12, 1200.00000, 2053.05, 24.3934, 2053.45, 24.4805, 2055.97, 24.4595
12, 1800.00000, 2020.34, 24.3717, 2020.73, 24.4581, 2023.09, 24.4365
12, 2400.00000, 1923.16, 24.2975, 1923.6, 24.386, 1925.97, 24.3654
12, 3000.00000, 1826.06, 24.2206, 1826.64, 24.3146, 1829.31, 24.2977
13, 0.00000, 1795.87, 24.197, 1796.45, 24.2914, 1799.02, 24.2741
13, 600.00000, 1909.61, 24.283, 1910.17, 24.3759, 1913, 24.3589
13, 1200.00000, 1816.21, 24.2112, 1816.81, 24.3069, 1819.59, 24.2902
13, 1800.00000, 1919.64, 24.2905, 1920.09, 24.3813, 1922.74, 24.3611
13, 2400.00000, 1916.29, 24.2826, 1917.02, 24.3848, 1920.89, 24.3744
13, 3000.00000, 1961.56, 24.3173, 1962.25, 24.4193, 1966.29, 24.4083
14, 0.00000, 1987.15, 24.3357, 1987.85, 24.44, 1992.19, 24.43
14, 600.00000, 2043.26, 24.3807, 2043.85, 24.4811, 2048.32, 24.4693
14, 1200.00000, 2073.97, 24.405, 2074.5, 24.5045, 2079.05, 24.4918
14, 1800.00000, 2113.99, 24.4375, 2114.41, 24.5347, 2118.92, 24.5191
14, 2400.00000, 1880.1, 24.2566, 1880.74, 24.3558, 1885.6, 24.3487
14, 3000.00000, 2134.79, 24.4556, 2135.14, 24.5484, 2139.76, 24.5324
15, 0.00000, 2083.95, 24.4187, 2084.27, 24.505, 2089.14, 24.4914
15, 600.00000, 1933.56, 24.3032, 1934, 24.3889, 1939.09, 24.3803
15, 1200.00000, 1872.39, 24.2577, 1872.83, 24.3415, 1877.86, 24.3336
15, 1800.00000, 1882.34, 24.2673, 1882.7, 24.3468, 1887.7, 24.3376
15, 2400.00000, 1814.5, 24.2177, 1814.88, 24.2926, 1820.03, 24.2863
15, 3000.00000, 1737.58, 24.1658, 1737.92, 24.2241, 1743.6, 24.225
16, 0.00000, 1913.97, 24.3014, 1914.12, 24.3552, 1919.69, 24.3497
16, 600.00000, 2045.99, 24.4056, 2045.97, 24.4531, 2051.55, 24.4443
16, 1200.00000, 2076.52, 24.4287, 2076.47, 24.4751, 2082.03, 24.4655
16, 1800.00000, 2063.3, 24.421, 2063.22, 24.4632, 2068.93, 24.4546
16, 2400.00000, 2055.72, 24.4156, 2055.61, 24.4571, 2061.32, 24.4481
16, 3000.00000, 2021.31, 24.3902, 2021.18, 24.4295, 2026.97, 24.4208
17, 0.00000, 1996.24, 24.3728, 1996.07, 24.4083, 2001.83, 24.3994
17, 600.00000, 1990.46, 24.3693, 1990.23, 24.4037, 1995.88, 24.3928
17, 1200.00000, 2053.89, 24.419, 2053.57, 24.4517, 2059.07, 24.4383
17, 1800.00000, 1951.39, 24.3429, 1951.05, 24.3699, 1956.55, 24.3575
17, 2400.00000, 1976.74, 24.363, 1976.32, 24.3892, 1981.75, 24.3744
17, 3000.00000, 1766.49, 24.2062, 1766.07, 24.2273, 1771.81, 24.2147
18, 0.00000, 1349.72, 22.9261, 1349.34, 22.9341, 1355.73, 22.9353
18, 600.00000, 651.842, 22.6863, 651.72, 22.6347, 659.024, 22.6869
18, 1200.00000, 418.722, 22.7427, 418.698, 22.6403, 426.097, 22.7379
18, 1800.00000, 421.692, 22.7469, 421.609, 22.6439, 428.979, 22.7334
18, 2400.00000, 377.191, 22.75, 377.163, 22.6324, 384.548, 22.7423
18, 3000.00000, 347.605, 22.7509, 347.606, 22.6219, 354.968, 22.7461
19, 0.00000, 367.971, 22.7561, 367.908, 22.6356, 375.183, 22.7413
19, 600.00000, 358.23, 22.7591, 358.131, 22.6363, 365.234, 22.7364
19, 1200.00000, 333.286, 22.7589, 333.177, 22.6269, 340.144, 22.7309
19, 1800.00000, 330.655, 22.7577, 330.544, 22.6298, 337.26, 22.7279
