hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7619.55, -1.58858, 7615.21, -121.565, 7611.75, 118.388, 117.326, 156.386, 117.425, 36.4245, 118.158, -83.6583
0, 1200.00000, 7556.59, -1.88228, 7552.26, -121.858, 7548.77, 118.094, 138.4, 156.264, 138.497, 36.293, 139.224, -83.7779
0, 1800.00000, 7577.33, -1.78553, 7572.88, -121.762, 7569.39, 118.19, 131.478, 156.306, 131.585, 36.3384, 132.321, -83.738
0, 2400.00000, 7573.52, -1.80316, 7569.08, -121.779, 7565.59, 118.173, 132.75, 156.296, 132.851, 36.3275, 133.591, -83.7459
0, 3000.00000, 7583.9, -1.75485, 7579.46, -121.731, 7575.96, 118.221, 129.278, 156.319, 129.385, 36.3518, 130.123, -83.7261
1, 0.00000, 7569.75, -1.82054, 7565.37, -121.797, 7561.93, 118.155, 134, 156.289, 134.099, 36.3197, 134.829, -83.7515
1, 600.00000, 7577.24, -1.78537, 7572.92, -121.762, 7569.52, 118.191, 131.479, 156.306, 131.578, 36.3376, 132.3, -83.735
1, 1200.00000, 7581, -1.76762, 7576.73, -121.745, 7573.37, 118.209, 130.21, 156.313, 130.308, 36.3452, 131.022, -83.7273
1, 1800.00000, 7592.26, -1.71478, 7588.07, -121.692, 7584.77, 118.262, 126.423, 156.335, 126.519, 36.3682, 127.221, -83.7048
1, 2400.00000, 7575.32, -1.79338, 7571.21, -121.771, 7567.99, 118.184, 132.072, 156.302, 132.164, 36.3327, 132.853, -83.7347
1, 3000.00000, 7592.2, -1.71429, 7588.17, -121.693, 7585, 118.263, 126.405, 156.334, 126.493, 36.3666, 127.174, -83.7018
2, 0.00000, 7570.59, -1.81514, 7566.56, -121.793, 7563.4, 118.162, 133.638, 156.293, 133.726, 36.3227, 134.403, -83.7418
