hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 7608.11, 118.38, 0, 0, 0.715679, 92.8023, 0.715679, -87.1977
0, 1200.00000, 7545.12, 118.087, 0, 0, 0.716705, 92.0352, 0.716705, -87.9647
0, 1800.00000, 7565.69, 118.182, 0, 0, 0.727114, 92.6231, 0.727114, -87.3769
0, 2400.00000, 7561.88, 118.165, 0, 0, 0.729343, 92.6019, 0.729343, -87.3981
0, 3000.00000, 7572.25, 118.213, 0, 0, 0.728571, 92.6372, 0.728571, -87.3628
1, 0.00000, 7558.26, 118.148, 0, 0, 0.719659, 92.632, 0.719659, -87.368
1, 600.00000, 7565.92, 118.183, 0, 0, 0.709226, 92.7, 0.709226, -87.2999
1, 1200.00000, 7569.81, 118.201, 0, 0, 0.701027, 92.7472, 0.701027, -87.2528
1, 1800.00000, 7581.27, 118.254, 0, 0, 0.688336, 92.837, 0.688336, -87.163
1, 2400.00000, 7564.57, 118.176, 0, 0, 0.674523, 92.8442, 0.674523, -87.1558
1, 3000.00000, 7581.64, 118.256, 0, 0, 0.663193, 92.945, 0.663193, -87.0549
2, 0.00000, 7560.05, 118.155, 0, 0, 0.662392, 92.8822, 0.662392, -87.1178
2, 600.00000, 7589.15, 118.291, 0, 0, 0.665869, 92.9566, 0.665869, -87.0433
2, 1200.00000, 7572.28, 118.212, 0, 0, 0.662844, 92.9178, 0.662844, -87.0821
2, 1800.00000, 7590.13, 118.295, 0, 0, 0.663508, 92.9697, 0.663508, -87.0303
2, 2400.00000, 7564.71, 118.177, 0, 0, 0.66735, 92.8753, 0.66735, -87.1246
2, 3000.00000, 7578.76, 118.242, 0, 0, 0.669098, 92.9118, 0.669098, -87.0882
3, 0.00000, 7575.02, 118.225, 0, 0, 0.668926, 92.9, 0.668926, -87.0999
3, 600.00000, 7585.34, 118.273, 0, 0, 0.669337, 92.9307, 0.669337, -87.0692
3, 1200.00000, 7568.22, 118.194, 0, 0, 0.686618, 92.8038, 0.686617, -87.1962
3, 1800.00000, 7580.23, 118.25, 0, 0, 0.705012, 92.7623, 0.705012, -87.2376
3, 2400.00000, 7571.64, 118.21, 0, 0, 0.717807, 92.6814, 0.717807, -87.3186
3, 3000.00000, 7581.64, 118.257, 0, 0, 0.740881, 92.6141, 0.740881, -87.3858
4, 0.00000, 7560.56, 118.16, 0, 0, 0.769784, 91.8564, 0.769783, -88.1436
4, 600.00000, 7581.81, 118.26, 0, 0, 0.796199, 91.8223, 0.796199, -88.1776
4, 1200.00000, 7564.67, 118.18, 0, 0, 0.811272, 91.6852, 0.811272, -88.3147
4, 1800.00000, 7576.35, 118.236, 0, 0, 0.848599, 91.564, 0.848599, -88.436
4, 2400.00000, 7566.89, 118.192, 0, 0, 0.853639, 91.5029, 0.853638, -88.4971
4, 3000.00000, 7564.02, 118.178, 0, 0, 0.855731, 91.4819, 0.85573, -88.5181
5, 0.00000, 7566.72, 118.191, 0, 0, 0.862978, 91.4599, 0.862977, -88.54
5, 600.00000, 7567.56, 118.195, 0, 0, 0.870059, 91.4315, 0.870059, -88.5685
5, 1200.00000, 7574.97, 118.23, 0, 0, 0.875382, 91.4375, 0.875382, -88.5625
5, 1800.00000, 7562.69, 118.173, 0, 0, 0.880131, 91.3666, 0.88013, -88.6333
5, 2400.00000, 7535.56, 118.045, 0, 0, 0.873074, 91.2883, 0.873074, -88.7117
5, 3000.00000, 7509.64, 117.923, 0, 0, 0.847561, 91.2981, 0.847561, -88.7019
6, 0.00000, 7588.5, 118.293, 0, 0, 0.851984, 91.5981, 0.851984, -88.4019
