hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 119.195, -32.8204, 119.541, -152.899, 119.372, 86.9402, 1.91069E-006, 138.711, 61.5036, 122.921, 61.8182, 10.182, 69.4478, -110.385, 4.10939, 141.764
0, 1200.00000, 118.047, -33.1269, 118.376, -153.208, 118.21, 86.6389, 1.87472E-006, 137.745, 60.9065, 122.577, 61.3933, 9.58922, 68.6512, -111.004, 4.03383, 140.995
0, 1800.00000, 118.432, -33.0191, 118.784, -153.108, 118.59, 86.7323, 1.8794E-006, 136.961, 60.7427, 122.703, 61.4039, 10.2922, 69.1604, -110.742, 4.04415, 140.125
0, 2400.00000, 118.338, -33.0533, 118.677, -153.137, 118.5, 86.7058, 1.89535E-006, 137.13, 61.5952, 122.548, 62.1286, 9.71561, 69.6273, -110.997, 4.08381, 140.491
0, 3000.00000, 118.548, -32.9891, 118.901, -153.077, 118.708, 86.7622, 1.88766E-006, 137.039, 60.9235, 122.717, 61.551, 10.2979, 69.3354, -110.7, 4.06187, 140.239
1, 0.00000, 118.283, -33.0626, 118.616, -153.144, 118.445, 86.7007, 1.87918E-006, 137.406, 61.0679, 122.581, 61.5647, 9.67487, 68.9301, -110.97, 4.04814, 140.762
1, 600.00000, 118.438, -33.0221, 118.776, -153.103, 118.605, 86.7403, 1.88154E-006, 138.274, 60.8056, 122.86, 61.284, 10.0832, 68.7168, -110.596, 4.04998, 141.552
1, 1200.00000, 118.524, -32.988, 118.859, -153.068, 118.69, 86.777, 1.8562E-006, 138.257, 60.0375, 122.877, 60.4958, 10.1231, 67.8666, -110.561, 3.99736, 141.491
1, 1800.00000, 118.753, -32.9119, 119.084, -152.989, 118.919, 86.8579, 1.82861E-006, 138.593, 59.0636, 122.931, 59.45, 10.1678, 66.7205, -110.462, 3.9336, 141.617
1, 2400.00000, 118.46, -32.9878, 118.78, -153.062, 118.626, 86.7886, 1.80764E-006, 138.869, 58.5041, 122.983, 58.8684, 10.0423, 65.8896, -110.472, 3.89174, 142.154
1, 3000.00000, 118.779, -32.8976, 119.093, -152.967, 118.95, 86.8848, 1.80258E-006, 139.619, 58.2556, 123.09, 58.4705, 10.0023, 65.3674, -110.304, 3.88118, 142.869
