hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 112.845, 116.761, 0.000556508, 19.1576, 23.7409, -85.5344, 23.7409, 94.4655
0, 1200.00000, 111.838, 116.454, 0.000550646, 18.8282, 23.8368, -86.2557, 23.8369, 93.7442
0, 1800.00000, 112.118, 116.526, 0.000551499, 18.7667, 24.2652, -86.2301, 24.2653, 93.7698
0, 2400.00000, 112.054, 116.503, 0.000551086, 18.7181, 24.3399, -86.2473, 24.34, 93.7527
0, 3000.00000, 112.254, 116.553, 0.000553003, 18.7857, 24.2163, -85.6429, 24.2163, 94.357
1, 0.00000, 112.023, 116.506, 0.000551348, 18.826, 24.0147, -86.2318, 24.0147, 93.7682
1, 600.00000, 112.205, 116.565, 0.00055357, 19.0055, 23.569, -85.6092, 23.569, 94.3907
1, 1200.00000, 112.285, 116.602, 0.000554312, 19.1355, 23.2878, -85.5803, 23.2878, 94.4196
1, 1800.00000, 112.491, 116.688, 0.000555883, 19.3666, 22.846, -85.5245, 22.846, 94.4754
1, 2400.00000, 112.27, 116.636, 0.000555355, 19.4553, 22.3979, -85.5267, 22.3979, 94.4732
1, 3000.00000, 112.558, 116.746, 0.000557279, 19.6987, 21.9982, -85.462, 21.9982, 94.5379
2, 0.00000, 112.231, 116.64, 0.000555668, 19.5898, 21.9932, -85.5066, 21.9932, 94.4933
2, 600.00000, 112.666, 116.777, 0.000557709, 19.7051, 22.0808, -85.4524, 22.0808, 94.5475
2, 1200.00000, 112.416, 116.7, 0.000556582, 19.6516, 21.9959, -85.4813, 21.996, 94.5186
2, 1800.00000, 112.687, 116.787, 0.000557913, 19.7415, 22.0002, -85.4445, 22.0002, 94.5554
2, 2400.00000, 112.29, 116.653, 0.000555756, 19.5505, 22.1557, -85.5087, 22.1557, 94.4912
2, 3000.00000, 112.5, 116.718, 0.000556739, 19.6057, 22.1994, -85.4826, 22.1994, 94.5173
3, 0.00000, 112.443, 116.7, 0.000556462, 19.5867, 22.1981, -85.4907, 22.1981, 94.5092
3, 600.00000, 112.6, 116.75, 0.00055723, 19.6388, 22.2009, -85.4691, 22.2009, 94.5308
3, 1200.00000, 112.296, 116.627, 0.000554976, 19.3164, 22.8024, -85.5485, 22.8024, 94.4514
3, 1800.00000, 112.434, 116.645, 0.000554894, 19.1412, 23.4109, -85.5675, 23.4109, 94.4324
3, 2400.00000, 112.271, 116.574, 0.000553543, 18.9246, 23.8528, -85.6175, 23.8528, 94.3824
3, 3000.00000, 112.367, 116.572, 0.000553054, 18.6764, 24.6222, -85.6522, 24.6222, 94.3478
4, 0.00000, 111.939, 116.413, 0.00054888, 18.2157, 25.6179, -86.3524, 25.6179, 93.6475
4, 600.00000, 112.197, 116.461, 0.00054906, 17.9865, 26.4889, -86.3594, 26.4889, 93.6405
4, 1200.00000, 111.896, 116.342, 0.000546884, 17.6912, 27.0217, -86.4517, 27.0218, 93.5482
4, 1800.00000, 111.978, 116.318, 0.000545711, 17.264, 28.2767, -86.5164, 28.2768, 93.4835
4, 2400.00000, 111.82, 116.259, 0.000544693, 17.1433, 28.4607, -86.5587, 28.4607, 93.4413
4, 3000.00000, 111.771, 116.24, 0.000544355, 17.0992, 28.5356, -86.573, 28.5356, 93.427
5, 0.00000, 111.794, 116.237, 0.000544159, 17.0188, 28.7793, -86.5844, 28.7793, 93.4156
5, 600.00000, 111.788, 116.226, 0.00054383, 16.9297, 29.0195, -86.6007, 29.0195, 93.3992
5, 1200.00000, 111.888, 116.251, 0.00054411, 16.9017, 29.1914, -86.5926, 29.1914, 93.4074
5, 1800.00000, 111.688, 116.179, 0.000542895, 16.7682, 29.3696, -86.6423, 29.3696, 93.3576
5, 2400.00000, 111.276, 116.056, 0.000541107, 16.7046, 29.164, -86.7062, 29.1641, 93.2937
5, 3000.00000, 110.945, 115.982, 0.000540509, 16.8952, 28.3273, -86.7169, 28.3273, 93.2831
6, 0.00000, 112.142, 116.369, 0.0005464, 17.287, 28.3749, -86.4881, 28.3749, 93.5118
6, 600.00000, 111.401, 116.137, 0.000542966, 17.1069, 28.175, -86.6184, 28.175, 93.3815
6, 1200.00000, 109.421, 115.539, 0.000533738, 16.5486, 27.9998, -88.2374, 27.9998, 91.7625
6, 1800.00000, 111.338, 116.11, 0.000542359, 17.0034, 28.4091, -86.6426, 28.4091, 93.3573
6, 2400.00000, 107.793, 115.139, 0.000525079, 15.9573, 28.1699, -88.6507, 28.1699, 91.3492
6, 3000.00000, 105.496, 114.435, 0.000512942, 14.9914, 28.3522, -89.3742, 28.3522, 90.6258
7, 0.00000, 105.101, 114.306, 0.000510709, 14.7769, 28.5021, -89.5087, 28.5021, 90.4912
7, 600.00000, 104.867, 114.197, 0.000508467, 14.3616, 29.3452, -89.6404, 29.3452, 90.3595
7, 1200.00000, 105.14, 114.268, 0.000509505, 14.3527, 29.6585, -89.5754, 29.6585, 90.4245
7, 1800.00000, 104.797, 114.146, 0.000507303, 14.0808, 30.0077, -89.7076, 30.0077, 90.2924
7, 2400.00000, 105.144, 114.201, 0.000507636, 13.7598, 31.2231, -89.68, 31.2231, 90.32
7, 3000.00000, 104.3, 113.844, 0.000500615, 12.5664, 33.4377, -90.0961, 33.4377, 89.9038
8, 0.00000, 104.257, 113.795, 0.000499426, 12.237, 34.2516, -90.1641, 34.2516, 89.8359
8, 600.00000, 104.284, 113.804, 0.000499554, 12.245, 34.2614, -90.1558, 34.2615, 89.8441
8, 1200.00000, 104.074, 113.748, 0.000498737, 12.2435, 34.0349, -90.2073, 34.0349, 89.7926
8, 1800.00000, 104.051, 113.703, 0.000497562, 11.8915, 34.9289, -90.2739, 34.9289, 89.726
8, 2400.00000, 104.392, 113.803, 0.00049913, 11.9744, 35.0929, -90.1752, 35.093, 89.8248
8, 3000.00000, 103.84, 113.646, 0.000496695, 11.8753, 34.7381, -90.3282, 34.7381, 89.6718
9, 0.00000, 104.023, 113.699, 0.000497513, 11.9134, 34.843, -90.2762, 34.843, 89.7238
9, 600.00000, 103.993, 113.689, 0.000497331, 11.8909, 34.8698, -90.2871, 34.8698, 89.7129
9, 1200.00000, 103.563, 113.561, 0.00049529, 11.7685, 34.7101, -90.4144, 34.7101, 89.5855
9, 1800.00000, 102.93, 113.375, 0.000492337, 11.6031, 34.4385, -90.5992, 34.4385, 89.4007
9, 2400.00000, 103.05, 113.412, 0.000492946, 11.6516, 34.4455, -90.5613, 34.4455, 89.4387
9, 3000.00000, 104.127, 113.763, 0.000498896, 12.2318, 34.1291, -90.1946, 34.1291, 89.8053
10, 0.00000, 103.361, 113.545, 0.000495529, 12.1004, 33.6279, -90.4059, 33.6279, 89.594
10, 600.00000, 103.498, 113.59, 0.000496267, 12.1685, 33.6023, -90.3602, 33.6023, 89.6397
10, 1200.00000, 104.304, 113.832, 0.000500184, 12.4267, 33.8162, -90.1167, 33.8162, 89.8833
10, 1800.00000, 104.971, 114.033, 0.000503449, 12.645, 33.9795, -89.9148, 33.9795, 90.0851
10, 2400.00000, 103.137, 113.491, 0.000494772, 12.1378, 33.2864, -90.4544, 33.2864, 89.5455
10, 3000.00000, 103.354, 113.566, 0.000496112, 12.3004, 33.1024, -90.3727, 33.1024, 89.6273
11, 0.00000, 103.275, 113.556, 0.000496094, 12.3935, 32.7761, -90.3756, 32.7761, 89.6244
11, 600.00000, 104.183, 113.87, 0.000501631, 13.0419, 32.0772, -90.0385, 32.0772, 89.9614
11, 1200.00000, 102.996, 113.559, 0.000497084, 13.0646, 30.7425, -90.3255, 30.7426, 89.6744
11, 1800.00000, 103.266, 113.672, 0.000499273, 13.431, 30.0842, -90.1943, 30.0842, 89.8057
11, 2400.00000, 103.357, 113.77, 0.000501613, 14.0653, 28.5415, -90.0582, 28.5416, 89.9417
11, 3000.00000, 103.815, 113.927, 0.000504411, 14.3849, 28.192, -89.8889, 28.1921, 90.111
12, 0.00000, 106.442, 114.721, 0.000517598, 15.2942, 28.5551, -89.0871, 28.5552, 90.9128
12, 600.00000, 105.583, 114.541, 0.00051547, 15.6745, 26.6508, -89.2261, 26.6508, 90.7739
12, 1200.00000, 105.02, 114.432, 0.000514291, 15.9943, 25.2337, -89.3039, 25.2337, 90.6961
12, 1800.00000, 105.348, 114.586, 0.000517455, 16.5698, 24.0554, -89.1185, 24.0555, 90.8814
12, 2400.00000, 106.051, 114.812, 0.000521415, 16.9317, 23.8076, -88.8824, 23.8076, 91.1176
