hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 124.117, -32.9073, 124.426, -152.992, 124.266, 86.8713, 1.99941E-006, 138.331, 61.4398, 122.847, 62.4328, 9.47777, 69.1963, -111.069, 4.30897, 141.668
0, 1200.00000, 123.587, -33.2377, 123.9, -153.322, 123.735, 86.5384, 1.97538E-006, 137.539, 61.0093, 122.535, 61.9628, 9.28448, 68.8323, -111.329, 4.25722, 140.879
0, 1800.00000, 124.001, -33.1215, 124.322, -153.212, 124.14, 86.6478, 1.98163E-006, 136.801, 60.9466, 122.494, 62.0923, 9.48915, 69.1518, -111.399, 4.26821, 140.014
0, 2400.00000, 123.912, -33.1544, 124.232, -153.244, 124.056, 86.6153, 2.00199E-006, 137.076, 61.5807, 122.507, 62.6687, 9.40734, 69.7202, -111.375, 4.31072, 140.384
0, 3000.00000, 124.131, -33.0881, 124.451, -153.179, 124.27, 86.6812, 1.99071E-006, 136.875, 61.0841, 122.516, 62.2447, 9.49747, 69.2977, -111.383, 4.2872, 140.132
1, 0.00000, 123.85, -33.1659, 124.165, -153.253, 123.994, 86.6079, 1.98497E-006, 137.355, 61.0668, 122.54, 62.1044, 9.36682, 69.0315, -111.344, 4.2729, 140.652
1, 600.00000, 124.008, -33.1243, 124.314, -153.208, 124.156, 86.6557, 1.98426E-006, 138.097, 60.9978, 122.647, 61.9693, 9.27947, 68.6935, -111.262, 4.27433, 141.442
1, 1200.00000, 124.102, -33.0885, 124.405, -153.172, 124.247, 86.694, 1.95758E-006, 138.071, 60.184, 122.672, 61.1749, 9.32058, 67.8144, -111.253, 4.21895, 141.382
1, 1800.00000, 124.357, -33.0066, 124.652, -153.089, 124.497, 86.7805, 1.92792E-006, 138.243, 59.1009, 122.743, 60.12, 9.36841, 66.5952, -111.218, 4.15217, 141.513
1, 2400.00000, 124.029, -33.0915, 124.317, -153.169, 124.174, 86.7017, 1.90811E-006, 138.776, 58.6387, 122.773, 59.5256, 9.23718, 65.8292, -111.17, 4.10724, 142.043
1, 3000.00000, 124.383, -32.9926, 124.662, -153.068, 124.528, 86.8067, 1.90245E-006, 139.497, 58.2634, 122.902, 59.1314, 9.20304, 65.2194, -111.082, 4.09676, 142.765
2, 0.00000, 123.948, -33.1089, 124.229, -153.183, 124.095, 86.6896, 1.88946E-006, 139.221, 58.1534, 122.826, 58.9676, 9.16064, 65.1072, -111.125, 4.06713, 142.491
2, 600.00000, 124.549, -32.9365, 124.831, -153.016, 124.685, 86.8593, 1.87911E-006, 138.714, 57.5083, 122.852, 58.5009, 9.3718, 64.6891, -111.147, 4.04749, 141.942
2, 1200.00000, 124.21, -33.0263, 124.493, -153.104, 124.349, 86.7701, 1.86737E-006, 138.563, 57.3589, 122.808, 58.2954, 9.321, 64.4858, -111.168, 4.01951, 141.848
2, 1800.00000, 124.572, -32.9284, 124.853, -153.007, 124.707, 86.8682, 1.87276E-006, 138.7, 57.3466, 122.861, 58.3414, 9.37462, 64.5032, -111.146, 4.03319, 141.946
2, 2400.00000, 124.057, -33.0667, 124.343, -153.146, 124.194, 86.7267, 1.86449E-006, 138.113, 57.3402, 122.742, 58.2983, 9.35888, 64.5901, -111.215, 4.01216, 141.408
2, 3000.00000, 124.337, -32.9939, 124.623, -153.073, 124.474, 86.7999, 1.87734E-006, 138.393, 57.5681, 122.793, 58.5546, 9.37511, 64.8205, -111.183, 4.04303, 141.647
3, 0.00000, 124.263, -33.0125, 124.549, -153.092, 124.399, 86.7809, 1.87427E-006, 138.355, 57.474, 122.775, 58.4584, 9.37801, 64.7375, -111.195, 4.03388, 141.546
3, 600.00000, 124.472, -32.9553, 124.758, -153.036, 124.607, 86.838, 1.87394E-006, 138.27, 57.4372, 122.801, 58.4634, 9.41786, 64.7344, -111.192, 4.03547, 141.521
3, 1200.00000, 124.124, -33.0461, 124.424, -153.132, 124.252, 86.7366, 1.8697E-006, 136.71, 57.4291, 122.593, 58.5655, 9.58124, 65.1921, -111.348, 4.02281, 139.994
3, 1800.00000, 124.377, -32.9635, 124.693, -153.059, 124.489, 86.807, 1.85093E-006, 134.779, 56.711, 122.417, 58.1217, 9.94542, 65.1215, -111.518, 3.98737, 137.941
3, 2400.00000, 124.213, -32.9971, 124.54, -153.099, 124.314, 86.764, 1.83442E-006, 132.99, 56.1254, 122.227, 57.6863, 10.175, 64.9931, -111.67, 3.94633, 136.226
