hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 123.694, -32.6662, 124.812, -153.199, 123.411, 86.5594, 11.3411, 116.985, 7.38964E-013, -157.38, 11.3411, -63.0149
0, 1200.00000, 123.888, -32.9936, 124.988, -153.526, 123.593, 86.24, 11.2309, 116.663, 2.29143E-013, -7.12502, 11.2309, -63.3368
0, 1800.00000, 124.327, -32.8801, 125.402, -153.418, 124.003, 86.361, 11.138, 116.784, 4.33839E-013, -58.3925, 11.138, -63.2158
0, 2400.00000, 124.212, -32.9097, 125.307, -153.45, 123.897, 86.3218, 11.2783, 116.749, 1.40623E-012, 14.0362, 11.2783, -63.2512
0, 3000.00000, 124.455, -32.8463, 125.532, -153.385, 124.131, 86.3943, 11.1644, 116.818, 3.41061E-013, -90, 11.1644, -63.1823
1, 0.00000, 124.161, -32.9227, 125.251, -153.457, 123.854, 86.314, 11.2071, 116.737, 2.34371E-013, 165.964, 11.2071, -63.2628
1, 600.00000, 124.321, -32.8813, 125.417, -153.409, 124.03, 86.3581, 11.2118, 116.778, 6.25278E-013, -90, 11.2118, -63.2222
1, 1200.00000, 124.444, -32.8492, 125.522, -153.371, 124.153, 86.4018, 11.0527, 116.815, 3.21555E-013, 45, 11.0527, -63.1845
1, 1800.00000, 124.739, -32.7725, 125.792, -153.284, 124.45, 86.4954, 10.84, 116.9, 6.9153E-013, -9.46232, 10.84, -63.0996
1, 2400.00000, 124.409, -32.8576, 125.469, -153.362, 124.139, 86.4113, 10.8097, 116.813, 3.41061E-013, 90, 10.8097, -63.1867
1, 3000.00000, 124.782, -32.7608, 125.836, -153.257, 124.522, 86.5169, 10.7419, 116.913, 9.11269E-013, -3.57633, 10.7419, -63.087
2, 0.00000, 124.337, -32.8765, 125.396, -153.373, 124.081, 86.3977, 10.74, 116.795, 7.62634E-013, 26.5651, 10.74, -63.2047
2, 600.00000, 124.981, -32.709, 126.007, -153.205, 124.703, 86.5806, 10.559, 116.973, 6.12222E-013, -68.1986, 10.559, -63.0268
2, 1200.00000, 124.637, -32.7985, 125.666, -153.293, 124.364, 86.4894, 10.5483, 116.882, 8.19807E-013, -33.6901, 10.5483, -63.1178
2, 1800.00000, 125.012, -32.7018, 126.033, -153.196, 124.734, 86.5908, 10.5191, 116.982, 7.89694E-013, -30.2564, 10.5191, -63.0182
2, 2400.00000, 124.481, -32.8388, 125.508, -153.337, 124.202, 86.4475, 10.5422, 116.842, 4.55635E-013, 3.57633, 10.5422, -63.158
2, 3000.00000, 124.762, -32.7657, 125.79, -153.264, 124.482, 86.5207, 10.5764, 116.915, 3.97904E-013, -90, 10.5764, -63.0847
3, 0.00000, 124.689, -32.7845, 125.716, -153.283, 124.408, 86.5021, 10.5625, 116.897, 1.14006E-012, -4.28915, 10.5625, -63.1034
3, 600.00000, 124.909, -32.7284, 125.929, -153.226, 124.624, 86.562, 10.5276, 116.955, 9.25344E-013, 10.6197, 10.5276, -63.0448
3, 1200.00000, 124.557, -32.8192, 125.566, -153.327, 124.245, 86.4674, 10.5004, 116.866, 5.68434E-013, -143.13, 10.5004, -63.1339
3, 1800.00000, 124.854, -32.742, 125.818, -153.258, 124.497, 86.5576, 10.274, 116.956, 4.58286E-013, -7.12502, 10.274, -63.0442
3, 2400.00000, 124.711, -32.7787, 125.648, -153.301, 124.326, 86.5269, 10.1181, 116.926, 2.42835E-013, -159.444, 10.1181, -63.074
3, 3000.00000, 124.915, -32.7385, 125.822, -153.272, 124.487, 86.5716, 10.0113, 116.974, 6.84485E-013, 4.76364, 10.0113, -63.0259
4, 0.00000, 124.475, -32.8538, 125.369, -153.403, 124.01, 86.4499, 9.98971, 116.861, 4.54747E-013, 0, 9.98971, -63.1392
4, 600.00000, 124.923, -32.7447, 125.781, -153.306, 124.409, 86.566, 9.86536, 116.98, 7.03114E-013, -14.0362, 9.86536, -63.0202
4, 1200.00000, 124.55, -32.8486, 125.404, -153.42, 124.017, 86.4561, 9.87478, 116.876, 4.8567E-013, 20.556, 9.87478, -63.1244
4, 1800.00000, 124.774, -32.8024, 125.597, -153.392, 124.182, 86.5025, 9.80489, 116.93, 4.09904E-013, 56.3099, 9.80489, -63.0702
4, 2400.00000, 124.553, -32.8603, 125.387, -153.455, 123.961, 86.4367, 9.89581, 116.868, 7.38964E-013, -22.6199, 9.89581, -63.1319
4, 3000.00000, 124.477, -32.8802, 125.319, -153.477, 123.887, 86.4122, 9.95692, 116.846, 4.09904E-013, 56.3099, 9.95692, -63.1544
5, 0.00000, 124.511, -32.872, 125.359, -153.473, 123.915, 86.4153, 10.0308, 116.852, 5.3626E-013, 147.995, 10.0308, -63.1478
5, 600.00000, 124.521, -32.8696, 125.367, -153.475, 123.916, 86.4156, 10.0486, 116.855, 4.58286E-013, 7.12502, 10.0486, -63.1453
5, 1200.00000, 124.64, -32.8395, 125.498, -153.449, 124.035, 86.4389, 10.1706, 116.881, 5.3626E-013, -147.995, 10.1706, -63.1187
5, 1800.00000, 124.375, -32.9085, 125.238, -153.522, 123.767, 86.3645, 10.2096, 116.81, 4.54747E-013, 180, 10.2096, -63.1898
5, 2400.00000, 124.535, -33.0542, 125.4, -153.665, 123.933, 86.2205, 10.2162, 116.664, 2.34371E-013, 14.0362, 10.2162, -63.3356
5, 3000.00000, 124.023, -33.1871, 124.899, -153.785, 123.455, 86.0904, 10.1599, 116.529, 5.68434E-013, 143.13, 10.1599, -63.4713
6, 0.00000, 125.849, -32.7345, 126.592, -153.295, 125.272, 86.62, 9.06145, 117.02, 2.29143E-013, -7.12502, 9.06145, -62.98
6, 600.00000, 124.871, -33.0106, 125.561, -153.57, 124.277, 86.3633, 8.75871, 116.756, 9.16573E-013, 119.745, 8.75871, -63.244
6, 1200.00000, 124.419, -33.6839, 125.111, -154.244, 123.828, 85.6881, 8.73549, 116.082, 4.09904E-013, 56.3099, 8.73549, -63.9183
6, 1800.00000, 125.577, -33.0176, 126.233, -153.58, 124.956, 86.3698, 8.61764, 116.759, 6.84485E-013, -4.76364, 8.61764, -63.2408
6, 2400.00000, 122.986, -34.1248, 123.664, -154.699, 122.372, 85.241, 8.70692, 115.642, 2.84217E-013, 143.13, 8.70692, -64.3583
6, 3000.00000, 119.87, -34.9186, 120.556, -155.516, 119.243, 84.423, 8.76015, 114.84, 2.6813E-013, -32.0054, 8.76015, -65.1599
7, 0.00000, 119.363, -35.0614, 120.014, -155.665, 118.712, 84.29, 8.60317, 114.706, 2.84217E-013, -36.8699, 8.60317, -65.2941
7, 600.00000, 119.152, -35.1317, 119.748, -155.752, 118.444, 84.2314, 8.40556, 114.65, 4.58286E-013, 60.2551, 8.40556, -65.3503
7, 1200.00000, 119.629, -35.035, 120.14, -155.658, 118.872, 84.3626, 8.02272, 114.77, 7.38964E-013, 157.38, 8.02272, -65.2299
7, 1800.00000, 119.215, -35.1598, 119.679, -155.792, 118.421, 84.2509, 7.8367, 114.657, 6.4311E-013, 135, 7.8367, -65.3426
7, 2400.00000, 119.874, -35.0124, 120.25, -155.661, 118.997, 84.4244, 7.50439, 114.829, 7.75762E-013, -28.4429, 7.50439, -65.1712
7, 3000.00000, 119.036, -35.2505, 119.264, -155.956, 117.984, 84.2121, 6.74132, 114.629, 5.68434E-014, 90, 6.74132, -65.3708
8, 0.00000, 119.118, -35.2593, 119.253, -155.98, 117.992, 84.233, 6.36667, 114.646, 3.02127E-013, 41.1859, 6.36667, -65.3544
8, 600.00000, 119.419, -35.2587, 119.284, -155.976, 118.163, 84.349, 4.98672, 114.721, 2.55795E-013, 90, 4.98672, -65.2787
8, 1200.00000, 119.6, -35.353, 118.966, -156.064, 118.109, 84.4687, 2.41154, 114.766, 4.58286E-013, 7.12502, 2.41154, -65.2339
8, 1800.00000, 119.752, -35.3421, 119.005, -156.069, 118.174, 84.517, 1.90379, 114.807, 2.34371E-013, 14.0362, 1.90379, -65.1926
8, 2400.00000, 120.754, -35.2238, 119.491, -155.942, 118.928, 84.8532, 0.77049, -64.9377, 4.58286E-013, 119.745, 0.77049, 115.062
8, 3000.00000, 120.147, -35.4297, 118.699, -156.15, 118.234, 84.7281, 1.74241, -65.0862, 6.84485E-013, 175.236, 1.74241, 114.914
9, 0.00000, 121.036, -35.3689, 118.96, -156.084, 118.819, 85.0519, 4.99611, -64.856, 3.12639E-013, 90, 4.99611, 115.144
9, 600.00000, 121.142, -35.3841, 118.916, -156.1, 118.851, 85.0993, 5.75961, -64.8297, 3.86577E-013, 126.027, 5.75961, 115.17
9, 1200.00000, 120.758, -35.5444, 118.304, -156.264, 118.354, 85.0368, 6.9336, -64.9243, 5.59843E-013, 66.0375, 6.9336, 115.076
9, 1800.00000, 120.056, -35.7749, 117.359, -156.493, 117.545, 84.9179, 7.94238, -65.0827, 2.29143E-013, 7.12502, 7.94238, 114.917
9, 2400.00000, 120.286, -35.7418, 117.51, -156.46, 117.737, 84.9825, 8.31374, -65.0305, 8.2423E-013, 90, 8.31374, 114.969
9, 3000.00000, 121.856, -35.3802, 119.008, -156.082, 119.292, 85.369, 8.96827, -64.6592, 2.42835E-013, -159.444, 8.96827, 115.341
10, 0.00000, 120.84, -35.6676, 117.888, -156.377, 118.225, 85.1333, 9.42896, -64.9098, 2.27374E-013, -90, 9.42896, 115.09
10, 600.00000, 121.236, -35.6281, 118.063, -156.336, 118.517, 85.2634, 10.5484, -64.8139, 2.27374E-013, 180, 10.5484, 115.186
10, 1200.00000, 122.488, -35.3407, 119.206, -156.035, 119.729, 85.5896, 11.1983, -64.5057, 3.21555E-013, 135, 11.1983, 115.494
10, 1800.00000, 123.474, -35.1274, 120.115, -155.807, 120.7, 85.831, 11.3329, -64.2798, 3.86577E-013, -126.027, 11.3329, 115.72
10, 2400.00000, 120.92, -35.7843, 117.473, -156.486, 118.089, 85.2319, 11.7283, -64.8923, 4.09904E-013, 123.69, 11.7283, 115.108
10, 3000.00000, 121.189, -35.7105, 117.795, -156.413, 118.379, 85.2799, 11.664, -64.8349, 5.59843E-013, 113.962, 11.664, 115.165
11, 0.00000, 121.103, -35.7356, 117.64, -156.426, 118.283, 85.2921, 11.9011, -64.8403, 7.50355E-013, 52.6961, 11.9011, 115.16
11, 600.00000, 122.309, -35.4182, 118.909, -156.083, 119.552, 85.5825, 11.9709, -64.5483, 6.9153E-013, -170.538, 11.9709, 115.452
11, 1200.00000, 120.595, -35.8601, 117.13, -156.512, 117.848, 85.198, 12.1776, -64.9558, 8.52651E-013, 143.13, 12.1776, 115.044
11, 1800.00000, 120.902, -35.7633, 117.474, -156.399, 118.197, 85.2848, 12.1064, -64.8732, 6.82121E-013, 0, 12.1064, 115.127
11, 2400.00000, 120.897, -35.7512, 117.503, -156.356, 118.264, 85.3009, 12.1222, -64.8687, 8.52651E-013, 143.13, 12.1222, 115.131
11, 3000.00000, 121.527, -35.5822, 118.163, -156.179, 118.914, 85.4549, 12.2306, -64.7121, 9.11269E-013, 176.424, 12.2306, 115.288
12, 0.00000, 125.118, -34.6561, 121.828, -155.221, 122.574, 86.3255, 11.6903, -63.8327, 5.08423E-013, 63.4349, 11.6903, 116.167
12, 600.00000, 123.784, -35.0055, 120.491, -155.544, 121.303, 86.0094, 11.8875, -64.1674, 8.52651E-013, -36.8699, 11.8875, 115.833
12, 1200.00000, 122.815, -35.2347, 119.609, -155.752, 120.424, 85.7679, 11.5818, -64.4132, 9.92728E-013, 156.371, 11.5818, 115.587
12, 1800.00000, 123.149, -35.1453, 119.972, -155.638, 120.818, 85.8563, 11.5286, -64.3354, 3.42243E-013, 48.3665, 11.5286, 115.665
12, 2400.00000, 124.041, -34.9086, 120.914, -155.393, 121.747, 86.0683, 11.2575, -64.1193, 2.6813E-013, 147.995, 11.2575, 115.881
12, 3000.00000, 124.918, -34.684, 121.775, -155.196, 122.555, 86.2726, 11.1634, -63.8977, 5.21753E-013, 29.3578, 11.1634, 116.102
13, 0.00000, 125.229, -34.607, 122.088, -155.105, 122.894, 86.3543, 11.208, -63.8216, 5.3626E-013, 147.995, 11.208, 116.178
13, 600.00000, 124.102, -34.8952, 120.929, -155.435, 121.674, 86.0651, 11.2215, -64.0944, 3.42243E-013, -131.634, 11.2215, 115.906
13, 1200.00000, 124.969, -34.6869, 121.809, -155.213, 122.574, 86.2673, 11.1047, -63.896, 1.01685E-012, 153.435, 11.1047, 116.104
13, 1800.00000, 123.924, -34.9568, 120.817, -155.476, 121.583, 85.992, 10.8413, -64.1729, 7.10543E-013, -163.74, 10.8413, 115.827
13, 2400.00000, 123.735, -35.0163, 120.518, -155.688, 121.039, 85.8843, 10.6509, -64.2082, 1.42109E-013, 90, 10.6509, 115.792
13, 3000.00000, 123.173, -35.1647, 119.996, -155.864, 120.454, 85.7088, 10.2494, -64.3653, 7.73154E-013, 126.027, 10.2494, 115.635
14, 0.00000, 122.75, -35.2641, 119.618, -156.021, 119.952, 85.5619, 9.91186, -64.4761, 0, 0, 9.91186, 115.524
14, 600.00000, 121.918, -35.4358, 119.01, -156.21, 119.21, 85.2944, 8.58816, -64.7046, 5.08423E-013, 153.435, 8.58816, 115.295
14, 1200.00000, 121.487, -35.5359, 118.66, -156.327, 118.797, 85.1553, 8.04531, -64.8251, 4.68743E-013, 14.0362, 8.04531, 115.175
14, 1800.00000, 120.927, -35.6805, 118.194, -156.477, 118.289, 84.9744, 7.31293, -64.993, 5.96856E-013, 90, 7.31293, 115.007
14, 2400.00000, 122.976, -35.119, 120.458, -155.88, 120.488, 85.4446, 6.05357, -64.5031, 9.16573E-013, 119.745, 6.05357, 115.497
14, 3000.00000, 120.416, -35.7415, 117.976, -156.541, 117.922, 84.7926, 5.75946, -65.1321, 7.73154E-013, 72.8973, 5.75946, 114.868
15, 0.00000, 120.396, -35.6163, 118.488, -156.405, 118.182, 84.6971, 3.09264, -65.1545, 4.62672E-013, 10.6197, 3.09264, 114.846
15, 600.00000, 121.654, -35.2498, 119.935, -156.021, 119.553, 84.985, 2.10384, -64.8456, 2.54212E-013, 153.435, 2.10384, 115.154
15, 1200.00000, 122.224, -35.1097, 120.552, -155.845, 120.211, 85.1233, 1.71263, -64.7199, 5.11591E-013, 90, 1.71263, 115.28
15, 1800.00000, 121.937, -35.1346, 120.476, -155.858, 120.058, 85.0203, 0.667495, -64.801, 9.13483E-013, 174.644, 0.667495, 115.199
15, 2400.00000, 122.322, -34.9565, 121.143, -155.67, 120.594, 85.085, 0.760396, 115.299, 4.58286E-013, 119.745, 0.760396, -64.7006
15, 3000.00000, 122.143, -34.727, 121.912, -155.443, 120.873, 84.9221, 5.57867, 115.272, 7.73154E-013, 126.027, 5.57867, -64.7283
16, 0.00000, 120.179, -35.1471, 120.259, -155.87, 119.068, 84.37, 7.10244, 114.767, 4.09904E-013, 56.3099, 7.10244, -65.2335
16, 600.00000, 118.391, -35.4463, 119, -156.196, 117.512, 83.833, 9.60927, 114.318, 2.29143E-013, 7.12502, 9.60927, -65.6817
16, 1200.00000, 118.004, -35.5185, 118.709, -156.27, 117.172, 83.7182, 10.0945, 114.219, 4.96364E-013, -23.6294, 10.0945, -65.7813
16, 1800.00000, 117.79, -35.4912, 118.819, -156.249, 117.115, 83.6047, 11.8123, 114.153, 2.55795E-013, 90, 11.8123, -65.8465
16, 2400.00000, 117.809, -35.4797, 118.885, -156.234, 117.168, 83.5984, 12.0863, 114.151, 4.83169E-013, 118.072, 12.0863, -65.8487
16, 3000.00000, 117.977, -35.4031, 119.2, -156.156, 117.421, 83.6159, 12.936, 114.186, 3.02127E-013, 41.1859, 12.936, -65.8139
17, 0.00000, 118.069, -35.3387, 119.467, -156.074, 117.636, 83.6185, 13.79, 114.202, 3.42243E-013, 48.3665, 13.79, -65.7981
17, 600.00000, 118.102, -35.332, 119.53, -156.053, 117.722, 83.6234, 13.9801, 114.2, 4.55635E-013, -3.57633, 13.9801, -65.8
17, 1200.00000, 117.4, -35.4793, 118.946, -156.193, 117.103, 83.4287, 14.5474, 114.017, 2.6813E-013, -32.0054, 14.5474, -65.9825
17, 1800.00000, 118.322, -35.2038, 120.008, -155.874, 118.176, 83.6775, 15.3794, 114.258, 9.92728E-013, 23.6294, 15.3794, -65.7423
17, 2400.00000, 117.972, -35.2678, 119.761, -155.935, 117.9, 83.5719, 15.9948, 114.162, 1.13687E-013, 90, 15.9948, -65.8375
17, 3000.00000, 119.794, -34.7639, 121.713, -155.428, 119.805, 84.0366, 17.0293, 114.635, 7.03114E-013, 14.0362, 17.0293, -65.3653
18, 0.00000, 123.546, -33.9073, 125.476, -154.591, 123.511, 84.9039, 17.8355, 115.503, 4.83169E-013, 90, 17.8355, -64.497
