hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 600.00000, 927.012, 22.8531, 927.3, 22.8463, 932.637, 22.8798
0, 1200.00000, 1090.83, 22.8542, 1093.3, 22.8422, 1098.5, 22.889
0, 1800.00000, 1037.78, 22.8727, 1040.22, 22.8597, 1045.52, 22.913
0, 2400.00000, 1047.51, 22.8695, 1049.95, 22.8567, 1055.27, 22.9088
0, 3000.00000, 1020.88, 22.8791, 1023.29, 22.8652, 1028.6, 22.9169
1, 0.00000, 1057.1, 22.8663, 1059.53, 22.8536, 1064.78, 22.9039
1, 600.00000, 1037.77, 22.8739, 1040.16, 22.8601, 1045.35, 22.9074
1, 1200.00000, 1028.02, 22.8769, 1030.4, 22.8629, 1035.53, 22.9106
1, 1800.00000, 998.837, 22.8876, 1001.18, 22.873, 1006.22, 22.9223
1, 2400.00000, 1042.29, 22.8727, 1044.66, 22.8591, 1049.6, 22.9032
1, 3000.00000, 998.724, 22.8883, 1001.02, 22.8735, 1005.9, 22.9196
2, 0.00000, 1054.3, 22.8687, 1056.66, 22.8552, 1061.52, 22.8972
2, 600.00000, 979.252, 22.8945, 981.551, 22.8795, 986.442, 22.9285
2, 1200.00000, 1022.8, 22.8795, 1025.14, 22.8656, 1030, 22.9108
2, 1800.00000, 976.804, 22.8955, 979.099, 22.8804, 983.974, 22.9295
2, 2400.00000, 1042.13, 22.8724, 1044.51, 22.8591, 1049.38, 22.9035
2, 3000.00000, 1005.9, 22.8851, 1008.24, 22.8709, 1013.14, 22.9181
3, 0.00000, 1015.54, 22.8822, 1017.89, 22.8683, 1022.79, 22.9148
3, 600.00000, 988.935, 22.891, 991.256, 22.8764, 996.162, 22.9253
3, 1200.00000, 1032.49, 22.875, 1034.9, 22.8618, 1039.89, 22.9099
3, 1800.00000, 1000.97, 22.8848, 1003.41, 22.8714, 1008.51, 22.9259
3, 2400.00000, 1022.67, 22.8764, 1025.18, 22.864, 1030.34, 22.9192
3, 3000.00000, 996.171, 22.8848, 998.716, 22.8722, 1004.01, 22.9337
4, 0.00000, 1049.4, 22.8648, 1052.06, 22.8545, 1057.5, 22.9182
4, 600.00000, 993.859, 22.8831, 996.534, 22.8718, 1002.15, 22.9458
4, 1200.00000, 1037.49, 22.8675, 1040.24, 22.8578, 1045.93, 22.9294
4, 1800.00000, 1006.22, 22.8771, 1009.03, 22.8671, 1014.95, 22.9484
4, 2400.00000, 1030.46, 22.8688, 1033.3, 22.8594, 1039.25, 22.9382
4, 3000.00000, 1037.74, 22.8665, 1040.58, 22.8574, 1046.54, 22.9353
5, 0.00000, 1030.58, 22.8683, 1033.43, 22.8589, 1039.44, 22.9385
5, 600.00000, 1028.18, 22.8692, 1031.04, 22.8598, 1037.1, 22.9407
5, 1200.00000, 1008.96, 22.8752, 1011.8, 22.8651, 1017.91, 22.9486
5, 1800.00000, 1040.37, 22.865, 1043.25, 22.856, 1049.37, 22.9363
5, 2400.00000, 1112.53, 22.8505, 1113.18, 22.8561, 1119.23, 22.9053
5, 3000.00000, 1179.7, 22.8272, 1180.26, 22.8334, 1186.12, 22.8742
6, 0.00000, 976.687, 22.9045, 977.46, 22.9028, 983.463, 22.9677
6, 600.00000, 1104.91, 22.8578, 1105.59, 22.863, 1111.42, 22.9125
6, 1200.00000, 1428, 22.8418, 1428.49, 22.8551, 1433.99, 22.8845
6, 1800.00000, 1111.8, 22.9158, 1114.79, 22.91, 1120.62, 22.9827
6, 2400.00000, 1668.71, 24.0016, 1669.13, 24.024, 1674.33, 24.038
6, 3000.00000, 2022.08, 24.1898, 2022.3, 24.2173, 2027.21, 24.2197
7, 0.00000, 2080.67, 24.2097, 2080.86, 24.2386, 2085.72, 24.2394
7, 600.00000, 2105.7, 24.2173, 2105.91, 24.2483, 2110.84, 24.2492
7, 1200.00000, 2059.96, 24.2007, 2060.22, 24.233, 2065.2, 24.2352
7, 1800.00000, 2107.9, 24.2167, 2108.14, 24.2508, 2113.1, 24.2517
7, 2400.00000, 2039.22, 24.1914, 2039.57, 24.2276, 2044.72, 24.2319
7, 3000.00000, 2139.12, 24.2244, 2139.61, 24.2656, 2144.85, 24.2724
8, 0.00000, 2135.12, 24.2218, 2135.64, 24.2655, 2140.95, 24.273
8, 600.00000, 2130.95, 24.2186, 2131.52, 24.2666, 2136.69, 24.2734
8, 1200.00000, 2165.88, 24.2276, 2166.47, 24.2838, 2171.29, 24.2873
8, 1800.00000, 2157.71, 24.2234, 2158.36, 24.2822, 2163.26, 24.287
8, 2400.00000, 2103.88, 24.2011, 2104.67, 24.2681, 2109.37, 24.2737
8, 3000.00000, 2192.39, 24.2312, 2193.11, 24.3009, 2197.56, 24.3023
9, 0.00000, 2163.55, 24.217, 2164.39, 24.2966, 2168.55, 24.2975
9, 600.00000, 2167.65, 24.2175, 2168.51, 24.2995, 2172.58, 24.2998
9, 1200.00000, 2235, 24.2401, 2235.82, 24.325, 2239.68, 24.3223
9, 1800.00000, 2333.72, 24.2747, 2334.44, 24.3635, 2338.01, 24.3554
9, 2400.00000, 2315.74, 24.2678, 2316.48, 24.358, 2320.03, 24.35
9, 3000.00000, 2157.3, 24.2105, 2158.22, 24.302, 2161.86, 24.2992
10, 0.00000, 2279.49, 24.2541, 2280.27, 24.3461, 2283.65, 24.3379
10, 600.00000, 2259.29, 24.2455, 2260.11, 24.3412, 2263.39, 24.3327
10, 1200.00000, 2134.59, 24.2, 2135.57, 24.2985, 2138.95, 24.2944
10, 1800.00000, 2030.65, 24.1611, 2031.64, 24.264, 2035.13, 24.2595
10, 2400.00000, 2317.76, 24.2655, 2318.51, 24.365, 2321.54, 24.3525
10, 3000.00000, 2287.58, 24.2548, 2288.37, 24.3531, 2291.43, 24.3421
11, 0.00000, 2303.59, 24.2607, 2304.36, 24.3597, 2307.32, 24.3475
11, 600.00000, 2175.52, 24.2152, 2176.42, 24.3129, 2179.46, 24.305
11, 1200.00000, 2371.19, 24.2867, 2371.84, 24.382, 2374.48, 24.3664
11, 1800.00000, 2339.18, 24.2758, 2339.84, 24.37, 2342.43, 24.3551
11, 2400.00000, 2344.94, 24.2792, 2345.56, 24.3708, 2347.96, 24.3548
11, 3000.00000, 2280.61, 24.2562, 2281.31, 24.3473, 2283.72, 24.3333
12, 0.00000, 1874.66, 24.1096, 1875.62, 24.2092, 1878.43, 24.2031
12, 600.00000, 2031.66, 24.1677, 2032.41, 24.2613, 2034.84, 24.2484
12, 1200.00000, 2135.59, 24.2065, 2136.19, 24.2946, 2138.4, 24.2784
12, 1800.00000, 2100.33, 24.1949, 2100.9, 24.2823, 2102.98, 24.2653
12, 2400.00000, 1995.75, 24.158, 1996.37, 24.2474, 1998.48, 24.2314
12, 3000.00000, 1891.67, 24.1194, 1892.45, 24.2136, 1894.87, 24.2021
13, 0.00000, 1859.37, 24.1085, 1860.14, 24.2032, 1862.46, 24.1911
13, 600.00000, 1981.19, 24.1502, 1981.96, 24.2434, 1984.52, 24.232
13, 1200.00000, 1881.14, 24.115, 1881.94, 24.2109, 1884.46, 24.1998
13, 1800.00000, 1991.97, 24.1556, 1992.61, 24.2471, 1994.99, 24.2319
13, 2400.00000, 1988.48, 24.1471, 1989.48, 24.2483, 1993.06, 24.2456
13, 3000.00000, 2037.18, 24.1639, 2038.15, 24.2648, 2041.87, 24.2616
14, 0.00000, 2064.73, 24.1735, 2065.84, 24.2754, 2069.82, 24.2771
14, 600.00000, 2125.27, 24.1962, 2126.26, 24.2947, 2130.34, 24.2942
14, 1200.00000, 2158.45, 24.2081, 2159.4, 24.3059, 2163.55, 24.3045
14, 1800.00000, 2201.82, 24.2247, 2202.62, 24.3223, 2206.68, 24.3164
14, 2400.00000, 1949.84, 24.1351, 1950.77, 24.2324, 1955.34, 24.2337
14, 3000.00000, 2224.37, 24.2346, 2225.1, 24.3277, 2229.27, 24.3212
15, 0.00000, 2169.32, 24.2184, 2170.02, 24.3025, 2174.53, 24.2996
15, 600.00000, 2007.21, 24.1629, 2008.02, 24.2448, 2012.83, 24.2478
15, 1200.00000, 1941.59, 24.1397, 1942.28, 24.2213, 1947.07, 24.221
15, 1800.00000, 1952.26, 24.1456, 1952.86, 24.2228, 1957.64, 24.2209
15, 2400.00000, 1879.61, 24.1226, 1880.21, 24.1949, 1885.16, 24.1959
15, 3000.00000, 1797.46, 24.1013, 1798.01, 24.1555, 1803.57, 24.1639
