hour, t(sec), Tap (pu)
0, 600.00000, 1.04375
0, 1200.00000, 1.05625
0, 1800.00000, 1.05625
0, 2400.00000, 1.05625
0, 3000.00000, 1.05625
1, 0.00000, 1.05625
1, 600.00000, 1.05625
1, 1200.00000, 1.05625
1, 1800.00000, 1.05625
1, 2400.00000, 1.05625
1, 3000.00000, 1.05625
2, 0.00000, 1.05625
2, 600.00000, 1.05625
2, 1200.00000, 1.05625
2, 1800.00000, 1.05625
2, 2400.00000, 1.05625
2, 3000.00000, 1.05625
3, 0.00000, 1.05625
3, 600.00000, 1.05625
3, 1200.00000, 1.05625
3, 1800.00000, 1.05625
3, 2400.00000, 1.05625
3, 3000.00000, 1.05625
4, 0.00000, 1.05625
4, 600.00000, 1.05625
4, 1200.00000, 1.05625
4, 1800.00000, 1.05625
4, 2400.00000, 1.05625
4, 3000.00000, 1.05625
5, 0.00000, 1.05625
5, 600.00000, 1.05625
5, 1200.00000, 1.05625
5, 1800.00000, 1.05625
5, 2400.00000, 1.05625
5, 3000.00000, 1.05625
6, 0.00000, 1.05625
6, 600.00000, 1.05625
6, 1200.00000, 1.075
6, 1800.00000, 1.06875
6, 2400.00000, 1.0875
6, 3000.00000, 1.1
7, 0.00000, 1.1
7, 600.00000, 1.1
7, 1200.00000, 1.1
7, 1800.00000, 1.1
7, 2400.00000, 1.1
7, 3000.00000, 1.1
8, 0.00000, 1.1
8, 600.00000, 1.1
8, 1200.00000, 1.1
8, 1800.00000, 1.1
8, 2400.00000, 1.1
8, 3000.00000, 1.1
9, 0.00000, 1.1
9, 600.00000, 1.1
9, 1200.00000, 1.1
9, 1800.00000, 1.1
9, 2400.00000, 1.1
9, 3000.00000, 1.1
10, 0.00000, 1.1
10, 600.00000, 1.1
10, 1200.00000, 1.1
10, 1800.00000, 1.1
10, 2400.00000, 1.1
10, 3000.00000, 1.1
11, 0.00000, 1.1
11, 600.00000, 1.1
11, 1200.00000, 1.1
11, 1800.00000, 1.1
11, 2400.00000, 1.1
11, 3000.00000, 1.1
12, 0.00000, 1.1
12, 600.00000, 1.1
12, 1200.00000, 1.1
12, 1800.00000, 1.1
12, 2400.00000, 1.1
12, 3000.00000, 1.1
13, 0.00000, 1.1
13, 600.00000, 1.1
13, 1200.00000, 1.1
13, 1800.00000, 1.1
13, 2400.00000, 1.1
13, 3000.00000, 1.1
14, 0.00000, 1.1
14, 600.00000, 1.1
14, 1200.00000, 1.1
14, 1800.00000, 1.1
14, 2400.00000, 1.1
14, 3000.00000, 1.1
15, 0.00000, 1.1
15, 600.00000, 1.1
15, 1200.00000, 1.1
15, 1800.00000, 1.1
15, 2400.00000, 1.1
15, 3000.00000, 1.1
16, 0.00000, 1.1
16, 600.00000, 1.1
16, 1200.00000, 1.1
16, 1800.00000, 1.1
16, 2400.00000, 1.1
16, 3000.00000, 1.1
17, 0.00000, 1.1
17, 600.00000, 1.1
17, 1200.00000, 1.1
17, 1800.00000, 1.1
17, 2400.00000, 1.1
17, 3000.00000, 1.1
18, 0.00000, 1.08125
18, 600.00000, 1.04375
18, 1200.00000, 1.025
18, 1800.00000, 1.025
18, 2400.00000, 1.025
18, 3000.00000, 1.025
19, 0.00000, 1.025
19, 600.00000, 1.025
19, 1200.00000, 1.025
19, 1800.00000, 1.025
19, 2400.00000, 1.025
19, 3000.00000, 1.025
20, 0.00000, 1.025
20, 600.00000, 1.025
20, 1200.00000, 1.025
20, 1800.00000, 1.025
20, 2400.00000, 1.025
20, 3000.00000, 1.025
21, 0.00000, 1.01875
21, 600.00000, 1.01875
21, 1200.00000, 1.01875
21, 1800.00000, 1.01875
21, 2400.00000, 1.01875
21, 3000.00000, 1.01875
22, 0.00000, 1.01875
22, 600.00000, 1.01875
22, 1200.00000, 1.01875
22, 1800.00000, 1.01875
22, 2400.00000, 1.01875
22, 3000.00000, 1.01875
23, 0.00000, 1.01875
23, 600.00000, 1.01875
23, 1200.00000, 1.01875
23, 1800.00000, 1.025
23, 2400.00000, 1.025
23, 3000.00000, 1.025
24, 0.00000, 1.025
