hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 8016.92, -121.712, 0, 0, 34.4677, 35.4649, 34.4678, -144.535
0, 1200.00000, 8037.39, -122.038, 0, 0, 40.5501, 35.0845, 40.5501, -144.916
0, 1800.00000, 8061.06, -121.932, 0, 0, 38.5772, 35.1319, 38.5772, -144.868
0, 2400.00000, 8056.72, -121.951, 0, 0, 38.9453, 35.1235, 38.9453, -144.877
0, 3000.00000, 8068.57, -121.898, 0, 0, 37.9498, 35.1465, 37.9499, -144.854
1, 0.00000, 8052.46, -121.97, 0, 0, 39.2945, 35.1137, 39.2945, -144.886
1, 600.00000, 8061.08, -121.932, 0, 0, 38.5708, 35.1283, 38.5708, -144.872
1, 1200.00000, 8065.45, -121.913, 0, 0, 38.1987, 35.136, 38.1987, -144.864
1, 1800.00000, 8078.48, -121.856, 0, 0, 37.1001, 35.1583, 37.1002, -144.842
1, 2400.00000, 8059.14, -121.942, 0, 0, 38.7074, 35.1185, 38.7074, -144.882
1, 3000.00000, 8078.59, -121.856, 0, 0, 37.0799, 35.1538, 37.08, -144.846
2, 0.00000, 8053.8, -121.966, 0, 0, 39.1462, 35.1062, 39.1462, -144.894
2, 600.00000, 8087.24, -121.817, 0, 0, 36.3518, 35.1714, 36.3519, -144.829
2, 1200.00000, 8067.85, -121.904, 0, 0, 37.9677, 35.1333, 37.9678, -144.867
2, 1800.00000, 8088.34, -121.813, 0, 0, 36.2589, 35.173, 36.259, -144.827
2, 2400.00000, 8059.22, -121.942, 0, 0, 38.6884, 35.1177, 38.6884, -144.882
2, 3000.00000, 8075.37, -121.87, 0, 0, 37.3433, 35.1491, 37.3434, -144.851
3, 0.00000, 8071.07, -121.889, 0, 0, 37.7007, 35.14, 37.7008, -144.86
3, 600.00000, 8082.93, -121.836, 0, 0, 36.7122, 35.1637, 36.7122, -144.836
3, 1200.00000, 8063.48, -121.922, 0, 0, 38.3373, 35.1297, 38.3373, -144.87
3, 1800.00000, 8077.48, -121.859, 0, 0, 37.1663, 35.1609, 37.1664, -144.839
3, 2400.00000, 8067.77, -121.902, 0, 0, 37.973, 35.1448, 37.973, -144.855
3, 3000.00000, 8079.52, -121.849, 0, 0, 37.0064, 35.1719, 37.0064, -144.828
4, 0.00000, 8055.76, -121.954, 0, 0, 38.9978, 35.1306, 38.9979, -144.869
